	Protein	Symbol	Gene Prefix
0	acyl-CoA oxidase 2	ACOX2	ACOX
1	apolipoprotein E	APOE	APOE
2	ATPase family AAA domain containing 3A	ATAD3A	ATAD
3	aurora kinase A and ninein interacting protein	AUNIP	AUNIP
4	AXL receptor tyrosine kinase	AXL	AXL
5	BCL2 antagonist/killer 1	BAK1	BAK
6	BRCA1 associated protein 1	BAP1	BAP
7	"BCL2 associated X, apoptosis regulator"	BAX	BAX
8	cell adhesion molecule 1	CADM1	CADM
9	caprin family member 2	CAPRIN2	CAPRIN
10	caspase 8	CASP8	CASP
11	C-C motif chemokine ligand 21	CCL21	CCL
12	free	CCR1	CCR
13	CD226 molecule	CD226	CD
14	CD274 molecule	CD274	CD
15	CD3e molecule	CD3E	CD
16	CD5 molecule like	CD5L	CD
17	CD74 molecule	CD74	CD
18	CCAAT enhancer binding protein gamma	CEBPG	CEBPG
19	complement factor D	CFD	CFD
20	chromodomain helicase DNA binding protein 7	CHD7	CHD
21	claudin 18	CLDN18	CLDN
22	chemerin chemokine-like receptor 1	CMKLR1	CMKLR
23	CCR4-NOT transcription complex subunit 4	CNOT4	CNOT
24	collectin subfamily member 12	COLEC12	COLEC
25	copine family member 9	CPNE9	CPNE
26	colony stimulating factor 3	CSF3	CSF
27	cytotoxic T-lymphocyte associated protein 4	CTLA4	CTLA
28	C-X-C motif chemokine ligand 17	CXCL17	CXCL
29	aromatase	CYP19A1	CYP
30	dishevelled binding antagonist of beta catenin 1	DACT1	DACT
31	DENN domain containing 1B	DENND1B	DENND
32	discs large MAGUK scaffold protein 1	DLG1	DLG
33	DnaJ heat shock protein family (Hsp40) member A1	DNAJA1	DNAJA
34	dual specificity phosphatase 1	DUSP1	DUSP
35	dual specificity tyrosine phosphorylation regulated kinase 3	DYRK3	DYRK
36	ectodysplasin A2 receptor	EDA2R	EDA
37	ER degradation enhancing alpha-mannosidase like protein 1	EDEM1	EDEM
38	ER	EDEM2	EDEM
39	EPH receptor B1	EPHB1	EPHB
40	EYA transcriptional coactivator and phosphatase 1	EYA1	EYA
41	fibrinogen like 2	FGL2	FGL
42	"FGR proto-oncogene, Src family tyrosine kinase"	FGR	FGR
43	flotillin 1	FLOT1	FLOT
44	fibronectin type III domain containing 4	FNDC4	FNDC
45	FTO alpha-ketoglutarate dependent dioxygenase	FTO	FTO
46	GATA	GATA1	GATA
47	GATA	GATA3	GATA
48	ghrelin and obestatin prepropeptide	GHRL	GHRL
49	glycerol-3-phosphate acyltransferase 4	GPAT4	GPAT
50	glycosylphosphatidylinositol specific phospholipase D1	GPLD1	GPLD
51	G protein-coupled receptor 17	GPR17	GPR
52	G protein-coupled receptor 68	GPR68	GPR
53	hematopoietic cell signal transducer	HCST	HCST
54	HERV-H LTR-associating 2	HHLA2	HHLA
55	H2.0 like homeobox	HLX	HLX
56	insulin	IGFBPL1	IGFBPL
57	interleukin 10	IL10	IL
58	interleukin 13	IL13	IL
59	interleukin 15	IL15	IL
60	interleukin 1 beta	IL1B	IL
61	keratin 17	KRT17	KRT
62	lipopolysaccharide binding protein	LBP	LBP
63	leptin	LEP	LEP
64	galectin 1	LGALS1	LGALS
65	"membrane associated guanylate kinase, WW and PDZ domain containing 3"	MAGI3	MAGI
66	membrane associated ring-CH-type finger 7	MARCH7	MARCH
67	MARVEL domain containing 3	MARVELD3	MARVELD
68	misshapen like kinase 1	MINK1	MINK
69	macrophage stimulating 1	MST1	MST
70	mitochondrial E3 ubiquitin protein ligase 1	MUL1	MUL
71	"nuclear factor, erythroid 2 like 1"	NFE2L1	NFE
72	notch receptor 1	NOTCH1	NOTCH
73	nuclear receptor subfamily 1 group H member 4	NR1H4	NR
74	"malonyl-CoA decarboxylase, mitochondrial"	OSGIN1	OSGIN
75	platelet activating factor acetylhydrolase 1b regulatory subunit 1	PAFAH1B1	PAFAH
76	polymeric immunoglobulin receptor	PIGR	PIGR
77	"Pim-1 proto-oncogene, serine/threonine kinase"	PIM1	PIM
78	POU class 1 homeobox 1	POU1F1	POU
79	POU class 4 homeobox 2	POU4F2	POU
80	peptidylprolyl isomerase B	PPIB	PPIB
81	"protein phosphatase, Mg2+/Mn2+ dependent 1F"	PPM1F	PPM
82	palmitoyl-protein thioesterase 1	PPT1	PPT
83	"protein kinase, DNA-activated, catalytic subunit"	PRKDC	PRKDC
84	protein S	PROS1	PROS
85	proline and serine rich coiled-coil 1	PSRC1	PSRC
86	pyrroline-5-carboxylate reductase 1	PYCR1	PYCR
87	"RAB29, member RAS oncogene family"	RAB29	RAB
88	"RAP2A, member of RAS oncogene family"	RAP2A	RAP
89	RAS guanyl releasing protein 1	RASGRP1	RASGRP
90	RAS like estrogen regulated growth inhibitor	RERG	RERG
91	"raftlin, lipid raft linker 1"	RFTN1	RFTN
92	regulating synaptic membrane exocytosis 2	RIMS2	RIMS
93	receptor interacting serine/threonine kinase 1	RIPK1	RIPK
94	RHO family interacting cell polarization regulator 2	RIPOR2	RIPOR
95	replication protein A2	RPA2	RPA
96	S100 calcium binding protein A9	S100A9	S
