	Genus	Species	Common name	Uncoupling	Oxidant_Detox	DNA_Repair	Stress	Total
16	Serinus	canaria	House canary	1	21	255	961	17380
17	Melopsittacus	undulatus	Budgerigar	0	21	248	935	16945
18	Echinops	telfairi	Lesser hedgehog tenrec	2	17	224	674	26079
25	Bos	taurus	Domestic cattle	3	83	400	1427	27607
40	Sus	scrofa	Wild boar	1	81	380	1375	25880
49	Vulpes	vulpes	Red fox	2	29	319	1150	29258
57	Panthera	tigris	Tiger	2	29	306	1109	22119
75	Neovison	vison	American mink	2	35	325	1196	24526
111	Pteropus	vampyrus	Large flying fox	2	22	293	1003	22194
115	Myotis	lucifugus	Little brown bat	1	60	305	1133	25849
121	Dasypus	novemcinctus	Nine-banded armadillo	0	26	302	1067	33374
140	Sarcophilus	harrisii	Tasmanian devil	2	51	274	930	20456
152	Monodelphis	domestica	Gray short-tailed opossum	4	73	345	1287	30369
166	Phascolarctos	cinereus	Koala	2	21	288	1043	25477
173	Erinaceus	europaeus	Western European hedgehog	1	18	214	634	22448
176	Procavia	capensis	Rock hyrax	0	18	259	826	18897
179	Oryctolagus	cuniculus	European rabbit	1	64	299	1101	23669
181	Ochotona	princeps	American pika	1	17	233	733	23065
186	Ornithorhynchus	anatinus	Duck-billed platypus	3	64	361	1016	29776
196	Choloepus	hoffmanni	Hoffmann's two-toed sloth	0	10	193	550	16060
202	Callithrix	jacchus	White-tufted-ear marmoset	2	70	350	1248	29286
212	Otolemur	garnettii	Small-eared galago	2	65	323	1197	28085
213	Homo	sapiens	Human	3	119	597	2296	66832
220	Carlito	syrichta	Philippine tarsier	2	38	301	952	24921
225	Heterocephalus	glaber	Naked mole-rat	2	43	309	1068	32747
228	Cavia	porcellus	Guinea pig	2	65	316	1208	26855
232	Chinchilla	lanigera	Long-tailed chinchilla	2	31	312	1199	29261
239	Mesocricetus	auratus	Golden hamster	2	44	307	1127	22283
243	Microtus	ochrogaster	Prairie vole	2	33	316	1180	23038
253	Peromyscus	maniculatus	Deer mouse	2	32	334	1244	25394
261	Jaculus	jaculus	Lesser Egyptian jerboa	2	28	291	1069	24433
273	Dipodomys	ordii	Ord's kangaroo rat	2	40	291	1074	20542
286	Meriones	unguiculatus	Mongolian jird	2	27	320	1156	25745
290	Mus	musculus	House mouse	3	98	461	1769	56393
294	Rattus	norvegicus	Norway rat	4	88	394	1572	32883
302	Octodon	degus	Degu	2	36	291	1025	25903
309	Ictidomys	tridecemlineatus	Thirteen-lined ground squirrel	2	64	323	1204	25201
329	Sorex	araneus	Eurasian shrew	2	15	204	702	19134
335	Sphenodon	punctatus	Tuatara	1	23	300	1016	19334
346	Chrysemys	picta	Painted turtle	1	24	303	1106	26817
