	Common name	Total	Protein_Coding
16	House canary	17380	15225
17	Budgerigar	16945	14568
18	Lesser hedgehog tenrec	26079	16575
25	Domestic cattle	27607	21861
40	Wild boar	25880	22342
49	Red fox	29258	20266
57	Tiger	22119	17544
75	American mink	24526	19599
111	Large flying fox	22194	16990
115	Little brown bat	25849	19728
121	Nine-banded armadillo	33374	22711
140	Tasmanian devil	20456	18788
152	Gray short-tailed opossum	30369	21327
166	Koala	25477	19832
173	Western European hedgehog	22448	14601
176	Rock hyrax	18897	16507
179	European rabbit	23669	19293
181	American pika	23065	16006
186	Duck-billed platypus	29776	21698
196	Hoffmann's two-toed sloth	16060	12393
202	White-tufted-ear marmoset	29286	19563
212	Small-eared galago	28085	19506
213	Human	66832	22722
220	Philippine tarsier	24921	18304
225	Naked mole-rat	32747	20742
228	Guinea pig	26855	18095
232	Long-tailed chinchilla	29261	17809
239	Golden hamster	22283	18257
243	Prairie vole	23038	19130
253	Deer mouse	25394	21644
261	Lesser Egyptian jerboa	24433	17845
273	Ord's kangaroo rat	20542	16911
286	Mongolian jird	25745	21116
290	House mouse	56393	22250
294	Norway rat	32883	22250
302	Degu	25903	19982
309	Thirteen-lined ground squirrel	25201	18474
329	Eurasian shrew	19134	13187
335	Tuatara	19334	17628
346	Painted turtle	26817	21176
99	White-rumped munia	18255	15917
59	Red junglefowl	24356	16779
88	Dark-eyed junco	17477	14551
25	Mallard	25952	16616
96	White-throated sparrow	18252	13862
372	African wild ass	22928	19922
379	White-tufted-ear marmoset	29286	19563
