Animal	ML	NLA	NLN1
Duck	29.1	4.422483614	0.116057647
Chicken	30	3.731202072	0.066476015
DarkEyedJunco	11.3	2.783695933	0.185759444
WhiteThroatedSparrow	14.9	3.454685982	0.205059406
BengaleseFinch	10	2.674117164	0.209106796
CommonCanary	24	6.015899485	0.415154887
Budgerigar	21	4.652468385	0.252916667
LesserHedgehogTenrec	19	3.400749171	0.12242268
Cow	20	1.81828718	0.017681268
Pig	27	2.343263384	0.02083
RedFox	21.3	2.93679349	0.063853962
Tiger	26.3	2.468507032	0.025529309
AmericanMink	11.4	1.752446559	0.047016364
Megabat	20.9	3.279315538	0.091533145
Microbat	34	6.766307191	0.298965517
Armadillo	22.3	2.350306837	0.030408794
TasmanianDevil	13	1.387229111	0.018383495
Opossum	5.1	0.720618638	0.016427885
Koala	22.1	2.238559257	0.026824106
Hedgehog	11.7	1.406562523	0.023467491
Hyrax	14.8	1.78216866	0.029828804
Rabbit	9	1.296777344	0.030700217
Pika	7	1.379832179	0.059853211
Platypus	22.6	2.654812539	0.042357178
Donkey	47	4.34604178	0.043668958
Sloth	41	3.849311941	0.03983097
Marmoset	22.8	3.600574063	0.10176
Bushbaby	20	2.754646573	0.059771689
Human	122.5	12.29863071	0.144865
Tarsier	16	2.392980648	0.060884956
NakedMoleRatMale	31	4.560731617	0.112407932
GuineaPig	12	1.715393269	0.039993741
LongTailedChinchilla	17.2	2.372016445	0.051596061
GoldenHamster	3.9	0.69559356	0.02487061
PrairieVole	5.3	1.042883691	0.045082988
NorthernAmericanDeerMouse	8.3	1.765163977	0.088668293
LesserEgyptianJerboa	7.3	1.33527089	0.050126667
KangarooRat	9.9	1.830901874	0.070211297
MongolianGerbil	6.3	1.235650801	0.053083333
Mouse	4	0.956277545	0.060222222
Rat	3.8	0.692273011	0.02578637
Degu	14	2.266360794	0.067194389
Squirrel	7.9	1.292816198	0.039141633
Shrew	3.2	1.080427593	0.132571429
