Pair Number	Protein	Symbol	Hedgehog Protein	Platypus Protein	Ka/Ks	P-Value
405	ATPase plasma membrane Ca2+ transporting 4	ATP2B4	ENSEEUP00000012661	ENSOANP00000003040	1.7293	0.00765067
614	complement C3	C3	ENSEEUP00000003033	ENSOANP00000009738	1.73606	1.03316e-05
911	ASH2 like, histone lysine methyltransferase complex subunit	ASH2L	ENSEEUP00000000665	ENSOANP00000020704	30.0795	0.0016190000000000002
1166	T-box 3	TBX3	ENSEEUP00000007759	ENSOANP00000011290	2.19637	0.00224916
1211	striatin	STRN	ENSEEUP00000002909	ENSOANP00000015062	49.9595	0.00568308
1328	DEAD-box helicase 46	DDX46	ENSEEUP00000003309	ENSOANP00000002927	49.6603	0.00257795
1635	dynein axonemal heavy chain 10	DNAH10	ENSEEUP00000010401	ENSOANP00000024117	1.53771	5.46302e-13
1794	mannosidase alpha class 1A member 1	MAN1A1	ENSEEUP00000001504	ENSOANP00000014028	5.48163	0.00697076
1930	glucosidase alpha, acid	GAA	ENSEEUP00000005401	ENSOANP00000008314	1.50804	0.00485708
2335	toll like receptor 3	TLR3	ENSEEUP00000007800	ENSOANP00000007824	1.46717	0.00594542
2546	ubiquitin like modifier activating enzyme 5	UBA5	ENSEEUP00000002390	ENSOANP00000010819	49.9847	0.00015704
2555	glucose-6-phosphate isomerase	GPI	ENSEEUP00000002891	ENSOANP00000015212	7.4472	0.0043296
2661	solute carrier family 22 member 4	SLC22A4	ENSEEUP00000003733	ENSOANP00000011513	1.97676	0.000959586
2809	E74 like ETS transcription factor 2	ELF2	ENSEEUP00000009624	ENSOANP00000021703	3.36291	0.00580874
3174	protein kinase AMP-activated catalytic subunit alpha 2	PRKAA2	ENSEEUP00000007811	ENSOANP00000018042	2.82651	0.00424066
3384	eukaryotic elongation factor, selenocysteine-tRNA specific	EEFSEC	ENSEEUP00000002902	ENSOANP00000014501	2.35931	0.00832102
3461	serine hydroxymethyltransferase 1	SHMT1	ENSEEUP00000005018	ENSOANP00000015661	50.0	0.0005217069999999999
3473	splicing regulatory glutamic acid and lysine rich protein 1	SREK1	ENSEEUP00000003144	ENSOANP00000007980	39.1275	0.00190412
3606	asteroid homolog 1	ASTE1	ENSEEUP00000003394	ENSOANP00000010799	1.94223	0.0023719
3741	G protein-coupled receptor 17	GPR17	ENSEEUP00000011477	ENSOANP00000014269	2.60688	0.00301023
3862	ribosomal protein L3 like	RPL3L	ENSEEUP00000005040	ENSOANP00000002999	8.89948	0.0056696
3953	podocan	PODN	ENSEEUP00000004385	ENSOANP00000005946	2.78436	7.811489999999997e-10
4236	cyclin dependent kinase 20	CDK20	ENSEEUP00000013500	ENSOANP00000017065	49.989	0.00321285
4260	ribitol xylosyltransferase 1	RXYLT1	ENSEEUP00000001378	ENSOANP00000013920	2.6063	0.00240572
4307	ras homolog family member V	RHOV	ENSEEUP00000012544	ENSOANP00000014811	49.3802	0.00537325
4351	HPS1, biogenesis of lysosomal organelles complex 3 subunit 1	HPS1	ENSEEUP00000009338	ENSOANP00000027916	4.45836	9.52393e-05
4359	one cut homeobox 1	ONECUT1	ENSEEUP00000009211	ENSOANP00000002738	50.0	2.74358e-05
4386	apoptosis inducing factor, mitochondria associated 2	AIFM2	ENSEEUP00000003625	ENSOANP00000019240	2.92159	0.00782954
4437	serine carboxypeptidase 1	SCPEP1	ENSEEUP00000000962	ENSOANP00000016337	2.46562	0.00470393
4598	coronin 1A	CORO1A	ENSEEUP00000002473	ENSOANP00000020012	1.73658	0.00778517
4695	nucleotide binding protein like	NUBPL	ENSEEUP00000005968	ENSOANP00000022127	49.9756	0.00153794
4779	leucine rich repeats and death domain containing 1	LRRD1	ENSEEUP00000002446	ENSOANP00000011465	2.4148400000000003	1.91165e-05
4799	annexin A13	ANXA13	ENSEEUP00000003125	ENSOANP00000022216	4.09658	0.00571868
4878	terminal nucleotidyltransferase 5B	FAM46B	ENSEEUP00000010399	ENSOANP00000004853	1.52166	0.00791076
4887	retinol dehydrogenase 5	RDH5	ENSEEUP00000008856	ENSOANP00000000910	3.2325	4.9763300000000005e-06
5013	carnitine O-acetyltransferase	CRAT	ENSEEUP00000008692	ENSOANP00000020894	1.75908	1.51964e-05
5102	cholinergic receptor muscarinic 3	CHRM3	ENSEEUP00000010586	ENSOANP00000016314	2.0200400000000003	0.0057075
5192	transmembrane serine protease 11F	TMPRSS11F	ENSEEUP00000012580	ENSOANP00000028943	3.85857	0.0055826
5301	UDP glucuronosyltransferase family 1 member A1	UGT1A1	ENSEEUP00000002407	ENSOANP00000020174	1.61893	0.000906439
5305	transglutaminase 2	TGM2	ENSEEUP00000011822	ENSOANP00000007454	1.61374	0.00585941
5345	hydroxysteroid 17-beta dehydrogenase 10	HSD17B10	ENSEEUP00000004631	ENSOANP00000014667	13.7751	0.000822018
5575	holocytochrome c synthase	HCCS	ENSEEUP00000010129	ENSOANP00000019164	16.2336	0.00443788
5624	serpin family A member 1	SERPINA1	ENSEEUP00000008086	ENSOANP00000022589	1.83157	0.000319476
5651	NK2 homeobox 3	NKX2-3	ENSEEUP00000012705	ENSOANP00000028938	50.0	0.00620705
5774	NLR family pyrin domain containing 10	NLRP10	ENSEEUP00000003349	ENSOANP00000018610	1.46117	0.00559357
5778	carboxypeptidase N subunit 2	CPN2	ENSEEUP00000001126	ENSOANP00000024720	1.96365	6.61605e-05
5844	abhydrolase domain containing 14B	ABHD14B	ENSEEUP00000000754	ENSOANP00000002124	4.5076800000000015	0.000568659
5924	pyridoxal kinase	PDXK	ENSEEUP00000005107	ENSOANP00000010335	3.61117	0.00521363
5993	cAMP responsive element binding protein 1	CREB1	ENSEEUP00000013243	ENSOANP00000009689	2.25623	0.00824521
6039	GAR1 ribonucleoprotein	GAR1	ENSEEUP00000004318	ENSOANP00000026594	49.8794	0.00945138
6083	FERM and PDZ domain containing 2	FRMPD2	ENSEEUP00000009236	ENSOANP00000009965	1.43311	0.00014942299999999998
6101	cholecystokinin A receptor	CCKAR	ENSEEUP00000008889	ENSOANP00000029165	49.4732	0.00025212
6113	solute carrier family 12 member 9	SLC12A9	ENSEEUP00000011859	ENSOANP00000013788	1.40486	0.000324795
6133	methionine sulfoxide reductase A	MSRA	ENSEEUP00000011725	ENSOANP00000022440	47.1516	0.00940718
6349	glutathione S-transferase zeta 1	GSTZ1	ENSEEUP00000014482	ENSOANP00000016796	49.8389	0.00199003
6396	EEF1A lysine methyltransferase 3	METTL21B	ENSEEUP00000003725	ENSOANP00000022683	6.607260000000001	5.6948800000000015e-06
6400	butyrophilin like 2	BTNL2	ENSEEUP00000007482	ENSOANP00000027693	3.1197	1.53219e-08
