	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
1	ENSEEUP00000012527.1-ENSOANP00000009723.1	MA	0.061908500000000005	0.16283699999999998	0.380186	9.633270000000001e-21	16941	796.065	16144.9		1047	120.199	926.801			0.0666512	1.17334:1.26253:0.857606:1.26464:0.303488:1	0.564911(0.45912:0.305725:0.929887)	-22896.8			
2	ENSEEUP00000001059.1-ENSOANP00000009129.2	MA	0.0146707	0.0143329	1.02357	1.0	12933	1136.08	11796.9		185	15.909	169.09099999999998			0.014641	0.991794:3.90976:0.126574:2.63103:0.287608:1	0.616356(0.534248:0.341603:0.973216)	-15306.6			
3	ENSEEUP00000007576.1-ENSOANP00000024509.3	MA	0.11832100000000001	0.23941199999999999	0.494217	1.4833399999999999e-24	17730	1169.47	16560.5		1972	246.548	1725.45			0.126308	1.81197:1.83893:1.41451:1.77867:0.421349:1	0.539698(0.488216:0.277366:0.853511)	-26819.7			
4	ENSEEUP00000008554.1-ENSOANP00000020803.1	MA	0.075383	0.114974	0.655652	2.0712800000000003e-05	12669	1102.27	11566.7		927	117.63799999999999	809.362			0.07882769999999999	0.939475:1.43426:0.415315:1.58804:0.389375:1	0.590239(0.489855:0.32988:0.950982)	-17861.5			
5	ENSEEUP00000014369.1-ENSOANP00000003065.2	MA	0.012911700000000002	0.015718700000000002	0.8214239999999999	0.44663400000000003	10275	933.105	9341.89		133	14.4192	118.581			0.0131666	1.73357:2.18412:1.09792:2.03147:0.241753:1	0.603166(0.510686:0.346966:0.951847)	-12194.9			
6	ENSEEUP00000000524.1-ENSOANP00000014383.3	MA	0.065161	0.146948	0.44343	1.3595700000000001e-15	12237	925.3689999999999	11311.6		815	126.93799999999999	688.062			0.0713457	1.25279:2.24994:0.236006:1.54291:0.517184:1	0.621198(0.522273:0.350229:0.991091)	-16993.3			
7	ENSEEUP00000000324.1-ENSOANP00000001128.3	MA	0.0546766	0.0541006	1.01065	1.0	11886	1164.31	10721.7		621	60.2523	560.748			0.054620100000000005	0.708796:1.51009:0.723789:1.68082:0.680457:1	0.639626(0.549388:0.412301:0.957189)	-15968.3			
8	ENSEEUP00000006365.1-ENSOANP00000017656.4	MA	0.0379329	0.062287800000000004	0.608995	0.000571156	10707	1015.24	9691.76		414	60.7605	353.23900000000003			0.0402423	2.1438:2.11799:1.74972:2.16077:0.672339:1	0.588285(0.503975:0.387552:0.873326)	-13923.6			
9	ENSEEUP00000013440.1-ENSOANP00000001619.2	MA	0.11601199999999999	0.28236500000000003	0.41085699999999997	1.6782499999999997e-39	13602	1090.19	12511.8		1557	272.426	1284.57			0.12934500000000002	1.1714:1.53509:0.350674:1.2397:0.247716:1	0.607167(0.49108:0.417713:0.912707)	-20763.5			
10	ENSEEUP00000007961.1-ENSOANP00000008073.2	MA	0.0361975	0.0886068	0.408518	4.08637e-09	9321	704.3810000000001	8616.62		356	59.3594	296.64099999999996			0.040158	1.33506:1.37473:1.12211:1.38815:0.493348:1	0.645053(0.557258:0.415824:0.962076)	-12030.3			
11	ENSEEUP00000002983.1-ENSOANP00000016317.5	MA	0.0890456	0.12348800000000001	0.721086	0.00173373	10443	905.352	9537.65		884	102.833	781.1669999999999			0.0920316	0.826168:1.54394:0.46235:1.35207:0.474241:1	0.555099(0.475769:0.322798:0.86673)	-15189.9			
12	ENSEEUP00000009361.1-ENSOANP00000019351.2	MA	0.0195207	0.0188667	1.03467	1.0	8001	720.556	7280.44		152	13.2703	138.73			0.019461799999999998	0.975939:2.95853:0.545362:2.24553:0.863215:1	0.55898(0.477435:0.332554:0.866951)	-9734.53			
13	ENSEEUP00000013529.1-ENSOANP00000018391.1	MA	0.10727300000000001	0.195645	0.548303	6.80038e-11	10563	780.617	9782.38		1077	136.829	940.171			0.113804	1.31569:2.14835:0.393433:1.60754:0.477651:1	0.545895(0.455225:0.300737:0.881722)	-15733.2			
14	ENSEEUP00000008456.1-ENSOANP00000019647.3	MA	0.0299418	0.0456375	0.6560779999999999	0.036592900000000005	7818	622.342	7195.66		236	27.4875	208.513			0.031191200000000002	0.874139:1.63855:0.368323:1.39575:0.255445:1	0.559847(0.469929:0.325472:0.884139)	-9877.3			
15	ENSEEUP00000010934.1-ENSOANP00000020369.2	MA	0.16409200000000002	0.286412	0.572925	8.313640000000001e-19	12456	1122.77	11333.2		1866	275.096	1590.9			0.175118	0.99354:1.48868:0.335762:1.23869:0.451956:1	0.582048(0.521743:0.338599:0.885802)	-20305.4			
16	ENSEEUP00000012438.1-ENSOANP00000021058.2	MA	0.011447399999999998	0.0150691	0.759655	0.42136	7326	598.606	6727.39		85	8.91233	76.0877			0.0117433	1.20281:1.495:0.975231:1.47632:0.368179:1	0.648643(0.532049:0.43374:0.980142)	-8593.45			
17	ENSEEUP00000008485.1-ENSOANP00000022518.1	MA	0.135709	0.18298299999999998	0.7416470000000001	0.000531344	10686	866.6360000000001	9819.36		1310	139.314	1170.69			0.139543	0.948231:1.57346:0.425016:1.56589:0.305393:1	0.578945(0.480684:0.317913:0.938238)	-16516.3			
