	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
0	ENSEEUP00000009361|ENSEEUG00000010113|ENSEEUT00000010264|protein_coding|SMG1|SMG1-ENSPCAP00000003055|ENSPCAG00000002964|ENSPCAT00000003253|protein_coding|SMG1|SMG1	MA	0.0146502	0.0319605	0.45838599999999996	0.00168297	7647	611.4169999999999	7035.58		120	19.1246	100.875			0.016034299999999998	1.45008:1.96658:1.31071:1.60778:0.523086:1	0.515823(0.439672:0.309166:0.798632)	-9188.97			
1	ENSEEUP00000010776|ENSEEUG00000011656|ENSEEUT00000011808|protein_coding-ENSPCAP00000003306|ENSPCAG00000003250|ENSPCAT00000003526|protein_coding	MA	0.029250599999999998	0.208575	0.14024	6.41849e-31	7221	341.282	6879.72		241	62.9733	178.02700000000002			0.0377259	0.786507:0.913659:0.697354:0.841845:0.33481:1	0.607525(0.435813:0.455689:0.931072)	-9086.54			
2	ENSEEUP00000012438|ENSEEUG00000013511|ENSEEUT00000013641|protein_coding|UBR5|ubiquitin-ENSPCAP00000001316|ENSPCAG00000001160|ENSPCAT00000001400|protein_coding|UBR5|ubiquitin	MA	0.00860168	0.0163953	0.524644	0.081602	6162	514.549	5647.45		56	8.28617	47.7138			0.00925247	0.87249:1.63316:0.709144:1.41543:0.432454:1	0.578223(0.475289:0.389069:0.87031)	-7149.39			
3	ENSEEUP00000001402|ENSEEUG00000001518|ENSEEUT00000001547|protein_coding|NIPBL|NIPBL-ENSPCAP00000007202|ENSPCAG00000007497|ENSPCAT00000007696|protein_coding|NIPBL|NIPBL	MA	0.035239099999999995	0.085614	0.41160399999999997	4.71433e-05	6069	352.324	5716.68		222	28.9117	193.088			0.038163499999999996	1.39681:1.46065:1.09401:1.32708:0.358287:1	0.548716(0.445431:0.336669:0.864048)	-7665.18			
4	ENSEEUP00000007053|ENSEEUG00000007459|ENSEEUT00000007744|protein_coding|PRKDC|protein-ENSPCAP00000000914|ENSPCAG00000000657|ENSPCAT00000000969|protein_coding|PRKDC|protein	MA	0.12241400000000001	0.223509	0.547693	2.4460800000000003e-10	7755	638.769	7116.23		899	126.59100000000001	772.409			0.130741	0.922534:1.48307:0.233042:1.1911:0.301843:1	0.481859(0.401118:0.274174:0.770287)	-11913.7			
5	ENSEEUP00000014078|ENSEEUG00000015389|ENSEEUT00000015424|protein_coding|TRIP12|thyroid-ENSPCAP00000010653|ENSPCAG00000011216|ENSPCAT00000011407|protein_coding|TRIP12|thyroid	MA	0.012337299999999999	0.00448165	2.75285	0.165929	5076	457.379	4618.62		59	2.04873	56.9513			0.011629500000000001	1.11707:2.68106:0.747658:2.52933:0.464361:1	0.605851(0.488997:0.408393:0.920164)	-5960.65			
6	ENSEEUP00000002367|ENSEEUG00000002555|ENSEEUT00000002588|protein_coding|MYO18A|myosin-ENSPCAP00000007360|ENSPCAG00000007721|ENSPCAT00000007864|protein_coding|MYO18A|myosin	MA	0.0214382	0.0650719	0.32945399999999997	5.39538e-06	5154	376.059	4777.94		122	23.5257	98.4743			0.024621900000000002	2.70494:2.27603:1.48176:2.03208:0.23286:1	0.600537(0.533675:0.348951:0.918985)	-6260.0			
7	ENSEEUP00000001850|ENSEEUG00000001981|ENSEEUT00000002031|protein_coding|VPS13C|vacuolar-ENSPCAP00000003908|ENSPCAG00000003763|ENSPCAT00000004164|protein_coding|VPS13C|vacuolar	MA	0.106526	0.28155399999999997	0.37835	1.34369e-21	6870	488.62800000000004	6381.37		728	122.535	605.465			0.118975	1.1405:2.14262:0.369065:1.32147:0.375209:1	0.503022(0.423352:0.290797:0.794918)	-10316.5			
8	ENSEEUP00000004674|ENSEEUG00000005033|ENSEEUT00000005118|protein_coding|NOTCH2|notch-ENSPCAP00000002615|ENSPCAG00000002647|ENSPCAT00000002774|protein_coding|NOTCH2|notch	MA	0.053668600000000004	0.174627	0.307332	5.3361699999999995e-12	5028	298.11	4729.89		279	47.4796	231.52			0.06084019999999999	0.811612:0.894988:0.853208:0.947704:0.631765:1	0.570537(0.452655:0.41972:0.839234)	-6838.62			
9	ENSEEUP00000010962|ENSEEUG00000011848|ENSEEUT00000012019|protein_coding|ATR|ATR-ENSPCAP00000013536|ENSPCAG00000014279|ENSPCAT00000014487|protein_coding|ATR|ATR	MA	0.060333000000000005	0.130139	0.463606	9.084810000000001e-07	5412	409.394	5002.61		334	50.1121	283.888			0.0656135	1.22328:1.55772:0.685178:1.23885:0.454425:1	0.532713(0.450139:0.304116:0.843886)	-7481.41			
