	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
0	ENSMLUP00000000196|ENSMLUG00000000179|ENSMLUT00000000214|protein_coding|HUWE1|HECT,-ENSMOCP00000009526|ENSMOCG00000009594|ENSMOCT00000012453|protein_coding|Huwe1|HECT,	MA	0.0154006	0.0175575	0.877152	0.5355300000000001	13071	1183.74	11887.3		202	20.5945	181.405			0.015596	1.26609:1.97417:0.453035:1.65001:0.328051:1	0.665175(0.566904:0.428621:1)	-15553.9			
1	ENSMLUP00000005229|ENSMLUG00000005675|ENSMLUT00000005722|protein_coding|SMG1|SMG1-ENSMOCP00000003203|ENSMOCG00000002552|ENSMOCT00000003425|protein_coding|Smg1|SMG1	MA	0.015215000000000001	0.028902499999999998	0.5264260000000001	0.00560017	10887	840.025	10047.0		173	23.7109	149.289			0.0162711	1.41738:3.68582:0.803922:2.20465:1.01029:1	0.646138(0.550565:0.387848:1)	-13058.7			
2	ENSMLUP00000015932|ENSMLUG00000017467|ENSMLUT00000017479|protein_coding|VPS13C|vacuolar-ENSMOCP00000001119|ENSMOCG00000000853|ENSMOCT00000001155|protein_coding|Vps13c|vacuolar	MA	0.07486380000000001	0.17413	0.42993100000000006	8.23179e-18	11217	812.7	10404.3		853	131.149	721.8510000000001			0.0820558	1.6898:2.18508:0.532111:1.64773:0.557603:1	0.625033(0.526611:0.348489:1)	-15803.3			
3	ENSMLUP00000007430|ENSMLUG00000008052|ENSMLUT00000008139|protein_coding|UBR5|ubiquitin-ENSMOCP00000022963|ENSMOCG00000019809|ENSMOCT00000026813|protein_coding|Ubr5|ubiquitin	MA	0.00907191	0.00701246	1.29368	0.672564	8316	697.659	7618.34		74	4.89196	69.108			0.00889914	1.20673:1.53702:0.843989:1.36229:0.0655711:1	0.665705(0.549242:0.447872:1)	-9626.97			
4	ENSMLUP00000001592|ENSMLUG00000001724|ENSMLUT00000001738|protein_coding|NIPBL|NIPBL-ENSMOCP00000000607|ENSMOCG00000000456|ENSMOCT00000000637|protein_coding|Nipbl|NIPBL	MA	0.014362999999999999	0.013903799999999997	1.03303	0.8455450000000001	8214	507.675	7706.33		117	7.01398	109.986			0.014334600000000001	1.76215:1.87576:1.31964:1.86888:0.173272:1	0.629291(0.509313:0.378561:1)	-9573.86			
5	ENSMLUP00000000688|ENSMLUG00000000718|ENSMLUT00000000755|protein_coding|PRKDC|protein-ENSMOCP00000015832|ENSMOCG00000014871|ENSMOCT00000019604|protein_coding|Prkdc|protein	MA	0.128931	0.278021	0.46374799999999994	1.1775699999999998e-26	12162	932.434	11229.6		1504	228.396	1275.6			0.140362	0.905516:1.54775:0.369015:1.20085:0.50185:1	0.625021(0.522447:0.352615:1)	-18989.9			
6	ENSMLUP00000003943|ENSMLUG00000004295|ENSMLUT00000004332|protein_coding|MTOR|mechanistic-ENSMOCP00000009086|ENSMOCG00000009089|ENSMOCT00000011816|protein_coding|Mtor|mechanistic	MA	0.0108443	0.00347829	3.1177200000000003	0.0638763	7578	674.117	6903.88		76	2.3079400000000003	73.6921			0.010189100000000001	0.629413:2.48482:0.785515:1.75877:0.486337:1	0.6474(0.562747:0.379454:1)	-8881.35			
7	ENSMLUP00000014102|ENSMLUG00000015444|ENSMLUT00000015478|protein_coding|GCN1|GCN1-ENSMOCP00000000990|ENSMOCG00000000746|ENSMOCT00000001024|protein_coding|Gcn1l1|GCN1	MA	0.0255236	0.058125199999999995	0.43911300000000003	1.55142e-05	7992	664.76	7327.24		218	37.3283	180.672			0.0282353	3.26819:5.59167:1.67608:2.49868:0.505664:1	0.664915(0.598911:0.395833:1)	-9939.8			
8	ENSMLUP00000013458|ENSMLUG00000014785|ENSMLUT00000014790|protein_coding||APC-ENSMOCP00000019546|ENSMOCG00000017500|ENSMOCT00000023359|protein_coding|Apc|APC	MA	0.0418722	0.137275	0.305025	1.4893800000000002e-15	8508	516.3430000000001	7991.66		377	65.8976	311.10200000000003			0.047662	1.5711:1.62795:1.28855:1.51525:0.489628:1	0.653855(0.493653:0.467913:1)	-10920.3			
9	ENSMLUP00000011064|ENSMLUG00000012102|ENSMLUT00000012144|protein_coding|REV3L|REV3-ENSMOCP00000013954|ENSMOCG00000013565|ENSMOCT00000017709|protein_coding|Rev3l|REV3	MA	0.0659245	0.23859699999999998	0.276301	1.2944e-32	9225	556.7959999999999	8668.2		649	122.419	526.581			0.0763465	2.11994:1.83782:1.04233:1.64844:0.418311:1	0.629648(0.489919:0.399024:1)	-12868.0			
