	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
0	ENSDORP00000008569|ENSDORG00000009116|ENSDORT00000009124|protein_coding|Herc2|HECT-ENSRNOP00000069050|ENSRNOG00000013718|ENSRNOT00000090796|protein_coding|Herc2|HECT	MA	0.030456	0.0502784	0.605747	0.000317102	14184	1310.49	12873.5		444	63.8804	380.12			0.0322874	1.6845:1.87542:1.30834:1.68419:0.671296:1	0.674315(0.58173:0.441425:0.999789)	-18024.0			
1	ENSDORP00000009307|ENSDORG00000009901|ENSDORT00000009902|protein_coding|Huwe1|HECT,-ENSRNOP00000069644|ENSRNOG00000061262|ENSRNOT00000081037|protein_coding|Huwe1|HECT,	MA	0.0686192	0.10540899999999999	0.650978	6.173020000000001e-05	12138	982.922	11155.1		816	97.2832	718.717			0.07159839999999999	1.09295:1.13613:1.03706:1.18402:0.814556:1	0.667408(0.567845:0.43438:1)	-16954.2			
2	ENSDORP00000013144|ENSDORG00000013977|ENSDORT00000013982|protein_coding|Szt2|SZT2-ENSRNOP00000032589|ENSRNOG00000028659|ENSRNOT00000039235|protein_coding|Szt2|SZT2,	MA	0.0407041	0.103842	0.391982	8.420249999999999e-16	10284	1065.72	9218.28		462	105.225	356.775			0.0472469	1.48238:1.58306:1.12306:1.37888:0.413298:1	0.693254(0.609507:0.470545:0.999708)	-13684.2			
3	ENSDORP00000005598|ENSDORG00000005969|ENSDORT00000005976|protein_coding|Vps13c|vacuolar-ENSRNOP00000054331|ENSRNOG00000030213|ENSRNOT00000057522|protein_coding|Vps13c|vacuolar	MA	0.07298389999999999	0.18299200000000002	0.398837	1.0278799999999999e-20	11211	802.573	10408.4		839	135.92700000000002	703.073			0.0808591	1.11728:1.88095:0.289731:1.28128:0.457703:1	0.627241(0.530104:0.351619:1)	-15760.8			
4	ENSDORP00000010781|ENSDORG00000011467|ENSDORT00000011469|protein_coding|Nf1|neurofibromin-ENSRNOP00000050393|ENSRNOG00000013780|ENSRNOT00000046262|protein_coding|Nf1|neurofibromin	MA	0.00816558	0.0148648	0.549323	0.0962761	8424	598.2719999999999	7825.73		72	8.7961	63.2039			0.00864136	1.40192:1.97078:1.21737:1.48756:0.633187:1	0.632135(0.521716:0.375044:0.999644)	-9794.81			
5	ENSDORP00000004132|ENSDORG00000004417|ENSDORT00000004420|protein_coding|Prkdc|protein-ENSRNOP00000037412|ENSRNOG00000025028|ENSRNOT00000035247|protein_coding|Prkdc|protein	MA	0.11652699999999999	0.229325	0.50813	6.54395e-18	12219	933.262	11285.7		1363	190.77	1172.23			0.125142	1.22272:2.00354:0.442924:1.43368:0.433073:1	0.62322(0.515464:0.354443:0.999755)	-18653.4			
6	ENSDORP00000023582|ENSDORG00000002543|ENSDORT00000027314|protein_coding|Nipbl|NIPBL-ENSRNOP00000071473|ENSRNOG00000056907|ENSRNOT00000083247|protein_coding|Nipbl|NIPBL,	MA	0.016200100000000002	0.0277095	0.584639	0.0674385	8391	501.452	7889.55		139	13.6296	125.37			0.0168879	1.24202:1.40737:1.07983:1.43743:0.54728:1	0.629616(0.509292:0.379736:0.999821)	-9871.4			
7	ENSDORP00000025044|ENSDORG00000005966|ENSDORT00000026432|protein_coding|Itpr1|inositol-ENSRNOP00000043615|ENSRNOG00000007104|ENSRNOT00000040255|protein_coding|Itpr1|inositol	MA	0.016708700000000003	0.0188988	0.8841110000000001	0.6198199999999999	8076	604.443	7471.56		134	11.2335	122.766			0.0168726	1.68867:1.65072:1.3624:1.75787:0.595956:1	0.62452(0.534163:0.33977:0.999629)	-9659.17			
8	ENSDORP00000016261|ENSDORG00000024768|ENSDORT00000025980|protein_coding|Apc|APC-ENSRNOP00000027691|ENSRNOG00000020423|ENSRNOT00000027691|protein_coding|Apc|APC	MA	0.0409084	0.0934904	0.437569	3.39416e-07	8505	544.13	7960.87		357	48.2313	308.769			0.0442725	1.91793:2.22936:1.2601:1.89033:0.208039:1	0.656794(0.5:0.470733:0.999647)	-10815.1			
9	ENSDORP00000003524|ENSDORG00000003771|ENSDORT00000003773|protein_coding|Mtor|mechanistic-ENSRNOP00000014167|ENSRNOG00000009615|ENSRNOT00000014167|protein_coding|Mtor|mechanistic	MA	0.0182759	0.026107799999999997	0.700018	0.161978	7362	624.211	6737.79		136	15.8952	120.105			0.018940000000000002	0.652668:1.62655:0.407573:1.11492:0.352139:1	0.647794(0.564155:0.379633:0.999593)	-8927.44			
