Pair Number	Protein	Symbol	NML Protein	Opossum Protein	Ka/Ks	P-Value
102	senataxin	SETX	ENSHGLP00100021043	ENSMODP00000029455	1.60619	0.07824960000000002
126	zinc finger FYVE-type containing 1	ZFYVE1	ENSHGLP00100025794	ENSMODP00000008500	1.60456	0.0162799
227	autophagy related 7	ATG7	ENSHGLP00100000115	ENSMODP00000007606	3.1158900000000003	0.042299199999999995
324	FA complementation group A	FANCA	ENSHGLP00100012216	ENSMODP00000004236	1.92684	7.46526e-05
352	serum/glucocorticoid regulated kinase 1	SGK1	ENSHGLP00100020759	ENSMODP00000021847	50.0	0.0133583
357	DnaJ heat shock protein family (Hsp40) member A1	DNAJA1	ENSHGLP00100021000	ENSMODP00000004141	3.9761	0.0388772
389	TBC1 domain family member 24		ENSHGLP00100005475	ENSMODP00000019270	2.08005	0.047554900000000004
443	solute carrier family 38 member 3	SLC38A3	ENSHGLP00100012259	ENSMODP00000015366	4.11306	0.018967599999999998
455	Ras related GTP binding A	RRAGA	ENSHGLP00100027828	ENSMODP00000014180	1.4251200000000002	0.00946374
504	bone morphogenetic protein 2	BMP2	ENSHGLP00100012006	ENSMODP00000004813	48.3165	0.0690997
595	family with sequence similarity 168 member A	FAM168A	ENSHGLP00100024017	ENSMODP00000032580	50.0	0.00715086
691			ENSHGLP00100026470	ENSMODP00000012669	6.75823	0.00579011
770	cytotoxic T-lymphocyte associated protein 4	CTLA4	ENSHGLP00100007251	ENSMODP00000020290	29.4723	0.00691921
794	cAMP responsive element binding protein 3	CREB3	ENSHGLP00100025184	ENSMODP00000009022	1.8424099999999999	0.0497639
825	leptin	LEP	ENSHGLP00100015176	ENSMODP00000018936	2.14433	0.0716503
850	C-C motif chemokine ligand 19	CCL19	ENSHGLP00100020295	ENSMODP00000038285	1.4282700000000002	0.00044179800000000003
