	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
0	ENSMLUP00000005229|ENSMLUG00000005675|ENSMLUT00000005722|protein_coding|SMG1|SMG1-ENSMUGP00000016435|ENSMUGG00000014048|ENSMUGT00000019013|protein_coding|Smg1|SMG1	MA	0.0151429	0.0387791	0.39049	4.9206800000000005e-06	10887	826.688	10060.3		180	31.2932	148.707			0.0169377	1.60898:3.23869:0.755482:1.9425:0.894532:1	0.646143(0.550964:0.387741:0.999725)	-13088.3			
1	ENSMLUP00000011528|ENSMLUG00000012627|ENSMLUT00000012669|protein_coding|SZT2|SZT2-ENSMUGP00000025154|ENSMUGG00000020947|ENSMUGT00000028849|protein_coding|Szt2|SZT2	MA	0.0568928	0.11398900000000001	0.499108	8.40783e-11	10269	1059.14	9209.86		606	113.48200000000001	492.51800000000003			0.0627817	1.02635:1.68663:0.518903:1.19122:0.446225:1	0.694753(0.611711:0.472839:0.999708)	-14182.5			
2	ENSMLUP00000007430|ENSMLUG00000008052|ENSMLUT00000008139|protein_coding|UBR5|ubiquitin-ENSMUGP00000002359|ENSMUGG00000001984|ENSMUGT00000002835|protein_coding|Ubr5|ubiquitin	MA	0.00670888	0.00699474	0.959131	0.628687	8316	732.2189999999999	7583.78		56	5.12165	50.8783			0.00673405	2.39437:2.96944:1.66822:2.73757:0.01:1	0.664984(0.548323:0.446989:0.999639)	-9523.4			
3	ENSMLUP00000013918|ENSMLUG00000015266|ENSMLUT00000015278|protein_coding|CHD7|chromodomain-ENSMUGP00000005948|ENSMUGG00000005373|ENSMUGT00000007087|protein_coding|Chd7|chromodomain	MA	0.0407884	0.062946	0.647991	0.00875324	8934	690.09	8243.91		364	41.6429	322.357			0.0424999	0.916561:1.06219:0.576173:1.0934:0.246119:1	0.662359(0.568647:0.418765:0.999664)	-11603.0			
4	ENSMLUP00000015240|ENSMLUG00000016706|ENSMLUT00000016723|protein_coding|MEGF8|multiple-ENSMUGP00000030758|ENSMUGG00000025572|ENSMUGT00000035229|protein_coding|Megf8|multiple	MA	0.0247358	0.0817813	0.30246300000000004	3.4898e-14	8349	823.211	7525.79		240	63.743	176.257			0.030360500000000002	1.0782:1.25768:0.77564:1.02647:0.320192:1	0.723839(0.602191:0.569684:0.999641)	-10541.3			
5	ENSMLUP00000001592|ENSMLUG00000001724|ENSMLUT00000001738|protein_coding|NIPBL|NIPBL-ENSMUGP00000026049|ENSMUGG00000021690|ENSMUGT00000029878|protein_coding|Nipbl|NIPBL	MA	0.0142983	0.0149066	0.9591930000000001	0.688261	8028	482.11699999999996	7545.88		114	7.119280000000001	106.881			0.014334799999999998	1.32009:1.28496:0.954834:1.32579:0.127988:1	0.627506(0.504296:0.378595:0.999626)	-9347.26			
6	ENSMLUP00000000688|ENSMLUG00000000718|ENSMLUT00000000755|protein_coding|PRKDC|protein-ENSMUGP00000005015|ENSMUGG00000004470|ENSMUGT00000005964|protein_coding|Prkdc|protein	MA	0.129065	0.295713	0.436454	6.926019999999999e-31	12111	897.574	11213.4		1502	232.773	1269.23			0.14141600000000001	0.978751:1.6327:0.253574:1.12956:0.458639:1	0.62097(0.516691:0.350884:0.995336)	-18882.9			
7	ENSMLUP00000003943|ENSMLUG00000004295|ENSMLUT00000004332|protein_coding|MTOR|mechanistic-ENSMUGP00000019334|ENSMUGG00000016356|ENSMUGT00000022248|protein_coding|Mtor|mechanistic	MA	0.00906948	0.000213574	42.4652	0.00371823	7590	671.453	6918.55		62	0.141374	61.8586			0.00828603	0.590229:3.35548:0.640208:2.07413:0.455377:1	0.644623(0.560243:0.377355:0.996272)	-8815.69			
8	ENSMLUP00000012265|ENSMLUG00000013461|ENSMLUT00000013480|protein_coding|ASH1L|ASH1-ENSMUGP00000009548|ENSMUGG00000008458|ENSMUGT00000011203|protein_coding|Ash1l|ASH1	MA	0.0419967	0.110106	0.381419	2.1181700000000002e-10	8868	571.289	8296.71		389	59.4868	329.51300000000003			0.0463844	1.47633:1.46224:1.14479:1.50605:0.363427:1	0.638767(0.492729:0.423909:0.999662)	-11560.4			
9	ENSMLUP00000004650|ENSMLUG00000005083|ENSMLUT00000005098|protein_coding|ANKRD17|ankyrin-ENSMUGP00000002286|ENSMUGG00000001189|ENSMUGT00000002752|protein_coding|Ankrd17|ankyrin	MA	0.00850923	0.0235387	0.3615	0.0008718739999999999	7350	655.534	6694.47		71	15.133	55.867			0.00984968	1.55432:1.92456:1.31807:1.74647:0.586003:1	0.685718(0.58107:0.479732:0.996352)	-8426.66			
