	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
0	ENSMLUP00000000196|ENSMLUG00000000179|ENSMLUT00000000214|protein_coding|HUWE1|HECT,-ENSMUGP00000022925|ENSMUGG00000019060|ENSMUGT00000026289|protein_coding|Huwe1|HECT,	MA	0.017508900000000004	0.0236946	0.7389439999999999	0.126644	13092	1142.01	11950.0		233	26.6825	206.31799999999998			0.018048500000000002	1.4733:1.98251:0.759166:1.68338:0.392898:1	0.664299(0.565536:0.42736:1)	-15727.1			
1	ENSMLUP00000005229|ENSMLUG00000005675|ENSMLUT00000005722|protein_coding|SMG1|SMG1-ENSMUGP00000016435|ENSMUGG00000014048|ENSMUGT00000019013|protein_coding|Smg1|SMG1	MA	0.0151429	0.0387791	0.39049	4.9206800000000005e-06	10887	826.688	10060.3		180	31.2932	148.707			0.0169377	1.60898:3.23869:0.755482:1.9425:0.894532:1	0.646321(0.551116:0.387848:1)	-13088.3			
2	ENSMLUP00000011528|ENSMLUG00000012627|ENSMLUT00000012669|protein_coding|SZT2|SZT2-ENSMUGP00000025154|ENSMUGG00000020947|ENSMUGT00000028849|protein_coding|Szt2|SZT2	MA	0.0568928	0.11398900000000001	0.499108	8.40783e-11	10269	1059.14	9209.86		606	113.48200000000001	492.51800000000003			0.0627817	1.02635:1.68663:0.518903:1.19122:0.446225:1	0.694956(0.61189:0.472977:1)	-14182.5			
3	ENSMLUP00000007430|ENSMLUG00000008052|ENSMLUT00000008139|protein_coding|UBR5|ubiquitin-ENSMUGP00000002359|ENSMUGG00000001984|ENSMUGT00000002835|protein_coding|Ubr5|ubiquitin	MA	0.00670888	0.00699474	0.959131	0.628687	8316	732.2189999999999	7583.78		56	5.12165	50.8783			0.00673405	2.39437:2.96944:1.66822:2.73757:0.01:1	0.665224(0.548521:0.44715:1)	-9523.4			
4	ENSMLUP00000001592|ENSMLUG00000001724|ENSMLUT00000001738|protein_coding|NIPBL|NIPBL-ENSMUGP00000026049|ENSMUGG00000021690|ENSMUGT00000029878|protein_coding|Nipbl|NIPBL	MA	0.0142983	0.0149066	0.9591930000000001	0.688261	8028	482.11699999999996	7545.88		114	7.119280000000001	106.881			0.014334799999999998	1.32009:1.28496:0.954834:1.32579:0.127988:1	0.62774(0.504484:0.378737:1)	-9347.26			
5	ENSMLUP00000000688|ENSMLUG00000000718|ENSMLUT00000000755|protein_coding|PRKDC|protein-ENSMUGP00000005015|ENSMUGG00000004470|ENSMUGT00000005964|protein_coding|Prkdc|protein	MA	0.129065	0.295713	0.436454	6.926019999999999e-31	12111	897.574	11213.4		1502	232.773	1269.23			0.14141600000000001	0.978751:1.6327:0.253574:1.12956:0.458639:1	0.621123(0.516818:0.35097:0.995581)	-18882.9			
6	ENSMLUP00000003943|ENSMLUG00000004295|ENSMLUT00000004332|protein_coding|MTOR|mechanistic-ENSMUGP00000019334|ENSMUGG00000016356|ENSMUGT00000022248|protein_coding|Mtor|mechanistic	MA	0.00906948	0.000213574	42.4652	0.00371823	7590	671.453	6918.55		62	0.141374	61.8586			0.00828603	0.590229:3.35548:0.640208:2.07413:0.455377:1	0.644876(0.560463:0.377503:0.996663)	-8815.69			
7	ENSMLUP00000013458|ENSMLUG00000014785|ENSMLUT00000014790|protein_coding||APC-ENSMUGP00000005408|ENSMUGG00000004860|ENSMUGT00000006442|protein_coding|Apc|APC	MA	0.0379279	0.136573	0.277711	1.37695e-17	8421	512.743	7908.26		344	65.1113	278.889			0.0439342	1.75334:1.69685:1.34365:1.57597:0.458429:1	0.654673(0.494478:0.46954:1)	-10702.4			
8	ENSMLUP00000014102|ENSMLUG00000015444|ENSMLUT00000015478|protein_coding|GCN1|GCN1-ENSMUGP00000029683|ENSMUGG00000024617|ENSMUGT00000033983|protein_coding|Gcn1l1|GCN1	MA	0.0267346	0.052638300000000006	0.507892	0.000368783	7992	683.5830000000001	7308.42		223	34.6809	188.31900000000002			0.028950200000000002	1.85414:4.61613:1.13394:2.0686:0.655058:1	0.666479(0.601727:0.39771:1)	-9964.18			
9	ENSMLUP00000011064|ENSMLUG00000012102|ENSMLUT00000012144|protein_coding|REV3L|REV3-ENSMUGP00000016074|ENSMUGG00000013597|ENSMUGT00000018616|protein_coding||DNA	MA	0.0667712	0.21443	0.31138899999999997	6.85596e-25	9204	549.401	8654.6		643	108.88600000000001	534.114			0.07558519999999999	1.67914:1.6616:1.31202:1.59253:0.399704:1	0.629455(0.490222:0.398142:1)	-12831.8			
10	ENSMLUP00000013493|ENSMLUG00000014810|ENSMLUT00000014826|protein_coding|EP300|E1A-ENSMUGP00000020658|ENSMUGG00000017402|ENSMUGT00000023736|protein_coding|Ep300|E1A	MA	0.0263649	0.031515100000000004	0.8365790000000001	0.42698800000000003	7218	616.755	6601.24		188	18.8868	169.113			0.026805000000000002	0.448805:1.36921:0.0539502:1.02011:0.44784:1	0.680382(0.586658:0.454489:1)	-8903.77			
11	ENSMLUP00000014820|ENSMLUG00000016247|ENSMLUT00000016264|protein_coding|CHD6|chromodomain-ENSMUGP00000021935|ENSMUGG00000018433|ENSMUGT00000025180|protein_coding|Chd6|chromodomain	MA	0.0639398	0.163052	0.39214499999999997	3.8886199999999995e-14	8142	574.837	7567.16		535	86.8197	448.18			0.07093730000000001	1.41345:1.67431:0.76302:1.4263:0.260172:1	0.651805(0.544031:0.411385:1)	-11259.8			
12	ENSMLUP00000001849|ENSMLUG00000002022|ENSMLUT00000002031|protein_coding|NCOR1|nuclear-ENSMUGP00000020400|ENSMUGG00000017031|ENSMUGT00000023454|protein_coding|Ncor1|nuclear	MA	0.037855	0.114757	0.329872	1.42444e-12	7182	558.737	6623.26		294	59.8742	234.12599999999998			0.04383769999999999	1.79848:1.66383:1.15302:1.61224:0.242232:1	0.670375(0.545323:0.4726:0.993201)	-9209.53			
13	ENSMLUP00000008325|ENSMLUG00000009113|ENSMLUT00000009137|protein_coding|POLE|DNA-ENSMUGP00000003586|ENSMUGG00000003237|ENSMUGT00000004296|protein_coding|Pole|DNA	MA	0.0469246	0.0712021	0.659034	0.016266299999999997	6837	573.175	6263.82		316	38.5267	277.473			0.0489599	0.691904:2.02239:0.237956:1.59122:0.225779:1	0.636171(0.534226:0.374287:1)	-9030.38			
14	ENSMLUP00000001258|ENSMLUG00000001342|ENSMLUT00000001368|protein_coding|TRIP12|thyroid-ENSMUGP00000022702|ENSMUGG00000018812|ENSMUGT00000026037|protein_coding|Trip12|thyroid	MA	0.00846582	0.029262	0.28931100000000004	0.00019338099999999998	5985	433.039	5551.96		58	12.3162	45.6838			0.00997051	1.30396:1.50398:1.0948:1.22134:0.372121:1	0.658647(0.538095:0.437845:1)	-6972.18			
15	ENSMLUP00000010920|ENSMLUG00000011942|ENSMLUT00000011988|protein_coding|DYSF|dysferlin-ENSMUGP00000019800|ENSMUGG00000013064|ENSMUGT00000022765|protein_coding|Dysf|dysferlin	MA	0.0348852	0.0697549	0.500111	0.000312551	6267	520.998	5746.0		227	34.8393	192.16099999999997			0.037784	1.20883:1.62251:0.70704:1.30175:0.245015:1	0.651987(0.559598:0.396362:1)	-8119.98			
16	ENSMLUP00000006379|ENSMLUG00000006967|ENSMLUT00000006978|protein_coding|NCOA6|nuclear-ENSMUGP00000007065|ENSMUGG00000006455|ENSMUGT00000008398|protein_coding|Ncoa6|nuclear	MA	0.040276	0.038266	1.05253	0.910424	6174	580.87	5593.13		241	21.6441	219.356			0.0400869	0.51401:2.46975:0.17767:1.5206:0.31921:1	0.68999(0.593294:0.476676:1)	-7760.59			
17	ENSMLUP00000004112|ENSMLUG00000004503|ENSMLUT00000004521|protein_coding|ZFYVE26|zinc-ENSMUGP00000031740|ENSMUGG00000026381|ENSMUGT00000036343|protein_coding||zinc	MA	0.100118	0.185831	0.538758	1.2703399999999998e-09	7575	687.533	6887.47		737	115.209	621.7909999999999			0.10789800000000001	0.994159:1.76907:0.32392:1.10345:0.356356:1	0.674917(0.595842:0.428911:1)	-11370.4			
18	ENSMLUP00000015906|ENSMLUG00000017445|ENSMLUT00000017449|protein_coding|KAT6A|lysine-ENSMUGP00000031722|ENSMUGG00000026372|ENSMUGT00000036325|protein_coding|Kat6a|lysine	MA	0.040818400000000005	0.14681	0.278035	2.55492e-14	5982	386.286	5595.71		264	52.5101	211.49			0.047662800000000005	1.86393:1.62786:1.15221:1.60614:0.511303:1	0.650619(0.537864:0.413992:1)	-7807.5			
19	ENSMLUP00000009203|ENSMLUG00000010072|ENSMLUT00000010094|protein_coding|SETD2|SET-ENSMUGP00000012426|ENSMUGG00000010752|ENSMUGT00000014458|protein_coding|Setd2|SET	MA	0.0906613	0.289468	0.3132	6.8129e-29	7242	491.51	6750.49		667	125.81200000000001	541.188			0.104154	1.93522:1.00963:0.552063:1.34613:0.765514:1	0.652513(0.510978:0.446562:1)	-10607.9			
20	ENSMLUP00000004340|ENSMLUG00000004750|ENSMLUT00000004768|protein_coding|SCN2A|sodium-ENSMUGP00000015569|ENSMUGG00000008834|ENSMUGT00000018039|protein_coding|Scn2a|sodium	MA	0.026378500000000003	0.051578599999999995	0.511424	0.00500252	5544	385.86400000000003	5158.14		151	19.2686	131.731			0.028132400000000002	0.994234:1.12842:0.83907:1.10907:0.424595:1	0.606995(0.473499:0.347756:0.99973)	-6896.13			
21	ENSMLUP00000013525|ENSMLUG00000014851|ENSMLUT00000014859|protein_coding|TNC|tenascin-ENSMUGP00000001387|ENSMUGG00000000764|ENSMUGT00000001653|protein_coding|Tnc|tenascin	MA	0.0710217	0.18593099999999999	0.381979	7.214099999999999e-14	6330	476.829	5853.17		464	81.5627	382.43699999999995			0.0796776	1.12294:1.15138:0.912704:1.09952:0.301224:1	0.668246(0.539336:0.465403:1)	-8966.48			
22	ENSMLUP00000014624|ENSMLUG00000016034|ENSMLUT00000016055|protein_coding|PTPRF|protein-ENSMUGP00000025005|ENSMUGG00000020879|ENSMUGT00000028675|protein_coding|Ptprf|protein	MA	0.0508987	0.0812367	0.626548	0.00443921	5721	518.71	5202.29		292	40.0888	251.91099999999997			0.0536494	1.11452:1.33114:0.83465:1.30026:0.432236:1	0.668065(0.55978:0.444415:1)	-7719.27			
23	ENSMLUP00000008521|ENSMLUG00000009292|ENSMLUT00000009349|protein_coding|CHD2|chromodomain-ENSMUGP00000022183|ENSMUGG00000009660|ENSMUGT00000025457|protein_coding|Chd2|chromodomain	MA	0.04821369999999999	0.116451	0.414024	1.99299e-05	5130	280.467	4849.53		250	30.6415	219.358			0.051944399999999995	1.03124:0.875436:0.730589:0.978056:0.538084:1	0.627583(0.522807:0.359942:1)	-6709.75			
24	ENSMLUP00000016207|ENSMLUG00000017764|ENSMLUT00000017768|protein_coding|INO80|INO80-ENSMUGP00000010671|ENSMUGG00000009347|ENSMUGT00000012457|protein_coding|Ino80|INO80	MA	0.0155255	0.027739599999999996	0.5596869999999999	0.0629531	4677	336.32599999999996	4340.67		75	9.12031	65.8797			0.0164038	0.887351:1.61655:0.612547:1.3751:0.0751103:1	0.638764(0.516036:0.400257:1)	-5565.48			
25	ENSMLUP00000010259|ENSMLUG00000011166|ENSMLUT00000011259|protein_coding||ATM-ENSMUGP00000007779|ENSMUGG00000006980|ENSMUGT00000009192|protein_coding|Atm|ATM	MA	0.11293199999999999	0.186263	0.606301	2.44238e-05	6183	471.031	5711.97		659	78.9002	580.1			0.11851800000000001	1.98683:2.41844:0.991664:2.01926:0.54233:1	0.620896(0.51771:0.344978:1)	-9332.72			
26	ENSMLUP00000006397|ENSMLUG00000006948|ENSMLUT00000006998|protein_coding|PIK3C2B|phosphatidylinositol-4-phosphate-ENSMUGP00000026333|ENSMUGG00000021891|ENSMUGT00000030188|protein_coding|Pik3c2b|phosphatidylinositol-4-phosphate	MA	0.0511674	0.0982044	0.52103	0.00038075699999999996	4887	402.50699999999995	4484.49		254	37.3255	216.675			0.05504149999999999	0.657204:1.80205:0.2334:1.2403:0.296217:1	0.653673(0.547268:0.413751:1)	-6606.05			
27	ENSMLUP00000007052|ENSMLUG00000007687|ENSMLUT00000007725|protein_coding|POLQ|DNA-ENSMUGP00000028801|ENSMUGG00000023832|ENSMUGT00000032966|protein_coding|Polq|DNA	MA	0.157662	0.412955	0.38179	6.89393e-33	7284	513.433	6770.57		1094	181.28799999999998	912.712			0.17565699999999998	1.50237:1.67961:0.956686:1.41769:0.509961:1	0.642916(0.53439:0.394357:1)	-11816.8			
28	ENSMLUP00000002643|ENSMLUG00000002886|ENSMLUT00000002908|protein_coding|ASCC3|activating-ENSMUGP00000004484|ENSMUGG00000004135|ENSMUGT00000005364|protein_coding|Ascc3|activating	MA	0.0365082	0.0662368	0.551177	0.00961054	4488	334.463	4153.54		167	21.2879	145.71200000000002			0.0387237	1.34354:1.65069:1.02976:1.43719:0.387102:1	0.628368(0.535404:0.350033:0.999666)	-5761.08			
29	ENSMLUP00000005579|ENSMLUG00000006103|ENSMLUT00000006111|protein_coding|PIK3R4|phosphoinositide-3-kinase-ENSMUGP00000020569|ENSMUGG00000017348|ENSMUGT00000023638|protein_coding|Pik3r4|phosphoinositide-3-kinase	MA	0.0176382	0.07429019999999999	0.237423	9.57885e-08	4074	295.616	3778.38		86	21.3157	64.6843			0.021749	1.46405:1.63719:1.12314:1.29999:0.319333:1	0.644207(0.544551:0.388071:1)	-4981.59			
30	ENSMLUP00000018414|ENSMLUG00000023786|ENSMLUT00000031055|protein_coding|USP47|ubiquitin-ENSMUGP00000012566|ENSMUGG00000010843|ENSMUGT00000014612|protein_coding|Usp47|ubiquitin	MA	0.0212516	0.033466699999999995	0.635008	0.136441	4125	290.535	3834.47		89	9.48746	79.5125			0.022112	1.89261:1.58511:1.14087:1.9539:0.319247:1	0.626424(0.521818:0.357455:1)	-4997.71			
31	ENSMLUP00000003084|ENSMLUG00000003378|ENSMLUT00000003393|protein_coding|SMCHD1|structural-ENSMUGP00000014238|ENSMUGG00000012287|ENSMUGT00000016515|protein_coding|Smchd1|structural	MA	0.0816586	0.158839	0.514096	1.1004500000000001e-05	5148	358.042	4789.96		412	52.2996	359.7			0.08702649999999999	0.812631:1.85024:0.508481:1.35784:0.359086:1	0.606339(0.503782:0.351702:0.963533)	-7333.91			
32	ENSMLUP00000009017|ENSMLUG00000009860|ENSMLUT00000009890|protein_coding|BAZ1B|bromodomain-ENSMUGP00000028941|ENSMUGG00000023965|ENSMUGT00000033119|protein_coding|Baz1b|bromodomain	MA	0.0404099	0.0825684	0.489411	0.0021363000000000003	4419	271.33299999999997	4147.67		181	21.3412	159.659			0.0429985	1.58045:1.70257:1.25345:1.65163:0.360032:1	0.634646(0.534963:0.368975:1)	-5685.09			
33	ENSMLUP00000000154|ENSMLUG00000000158|ENSMLUT00000000168|protein_coding|SMC1A|structural-ENSMUGP00000029295|ENSMUGG00000024269|ENSMUGT00000033540|protein_coding|Smc1a|structural	MA	0.000743545	0.00713377	0.104229	0.0183432	3699	213.13400000000001	3485.87		4	1.47891	2.52109			0.00111175	15.7627:11.171:21.2404:21.8502:0.01:1	0.608543(0.53528:0.290349:1)	-3922.4			
34	ENSMLUP00000004419|ENSMLUG00000004836|ENSMLUT00000004852|protein_coding|SETX|senataxin-ENSMUGP00000006616|ENSMUGG00000006098|ENSMUGT00000007870|protein_coding|Setx|senataxin	MA	0.201929	0.461375	0.437669	2.83197e-28	7818	502.04	7315.96		1410	191.111	1218.89			0.21859	1.1449:1.54986:0.576984:1.34486:0.700153:1	0.634178(0.518035:0.384497:1)	-13228.8			
35	ENSMLUP00000003985|ENSMLUG00000004374|ENSMLUT00000004380|protein_coding|MARF1|meiosis-ENSMUGP00000000068|ENSMUGG00000000075|ENSMUGT00000000107|protein_coding|Marf1|meiosis	MA	0.09102819999999999	0.22423200000000001	0.405955	7.21208e-13	5130	394.746	4735.25		474	80.7536	393.246			0.10127799999999999	1.24112:1.57335:0.659239:1.31241:0.376496:1	0.648928(0.533918:0.412865:1)	-7582.59			
36	ENSMLUP00000014281|ENSMLUG00000015661|ENSMLUT00000015679|protein_coding|MINK1|misshapen-ENSMUGP00000027753|ENSMUGG00000022795|ENSMUGT00000031782|protein_coding|Mink1|misshapen	MA	0.0242556	0.025850099999999997	0.93832	0.703132	3999	327.74	3671.26		95	8.25309	86.7469			0.0243863	0.807005:1.7629:0.959212:1.64824:0.584246:1	0.670293(0.57952:0.431358:1)	-4915.66			
37	ENSMLUP00000013189|ENSMLUG00000014478|ENSMLUT00000014500|protein_coding|MAP3K4|mitogen-activated-ENSMUGP00000008386|ENSMUGG00000007591|ENSMUGT00000009891|protein_coding|Map3k4|mitogen-activated	MA	0.0682746	0.11376099999999999	0.6001569999999999	0.00313275	4620	366.80699999999996	4253.19		310	38.9499	271.05			0.071886	1.21409:1.25472:0.952229:1.29943:0.335942:1	0.650541(0.544805:0.406818:1)	-6474.36			
