	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
0	ENSMLUP00000010978|ENSMLUG00000012010|ENSMLUT00000012050|protein_coding|MACF1|microtubule-ENSOPRP00000005666|ENSOPRG00000006126|ENSOPRT00000006179|protein_coding|MACF1|microtubule	MA	0.07271110000000001	0.25945300000000004	0.28024699999999997	4.172869999999999e-59	14967	982.199	13984.8		1159	232.25400000000002	926.7460000000001			0.0849659	2.30656:2.37019:1.75512:2.03736:0.600476:1	0.616755(0.554823:0.338916:0.956526)	-21083.9			
1	ENSMLUP00000005229|ENSMLUG00000005675|ENSMLUT00000005722|protein_coding|SMG1|SMG1-ENSOPRP00000013480|ENSOPRG00000014687|ENSOPRT00000014764|protein_coding|SMG1|SMG1	MA	0.017703599999999996	0.0376131	0.47067700000000007	0.000175978	10350	914.7460000000001	9435.25		196	33.4765	162.523			0.0194632	0.894287:3.34491:0.583187:2.53857:1.10217:1	0.630381(0.537666:0.377621:0.975855)	-12542.0			
2	ENSMLUP00000003943|ENSMLUG00000004295|ENSMLUT00000004332|protein_coding|MTOR|mechanistic-ENSOPRP00000011113|ENSOPRG00000012124|ENSOPRT00000012174|protein_coding|MTOR|mechanistic	MA	0.00895941	0.00408675	2.19231	0.19985999999999998	7611	725.508	6885.49		64	2.93494	61.0651			0.00849493	0.761864:1.75958:0.607776:1.55874:0.329029:1	0.646383(0.562032:0.377511:0.999606)	-8850.35			
3	ENSMLUP00000000688|ENSMLUG00000000718|ENSMLUT00000000755|protein_coding|PRKDC|protein-ENSOPRP00000009879|ENSOPRG00000010726|ENSOPRT00000010813|protein_coding|PRKDC|protein	MA	0.131651	0.275873	0.477217	1.0886200000000001e-22	10521	847.882	9673.12		1323	205.295	1117.7			0.143274	1.05161:1.74878:0.325234:1.29608:0.446651:1	0.585155(0.491865:0.337907:0.925692)	-16475.6			
4	ENSMLUP00000001592|ENSMLUG00000001724|ENSMLUT00000001738|protein_coding|NIPBL|NIPBL-ENSOPRP00000004863|ENSOPRG00000005225|ENSOPRT00000005292|protein_coding|NIPBL|NIPBL	MA	0.014503700000000001	0.051909000000000004	0.279405	5.57332e-06	6582	370.62199999999996	6211.38		106	18.6533	87.3467			0.0166099	1.26647:1.07191:0.722739:1.02122:0.316002:1	0.564308(0.453866:0.339168:0.899891)	-7734.62			
5	ENSMLUP00000007430|ENSMLUG00000008052|ENSMLUT00000008139|protein_coding|UBR5|ubiquitin-ENSOPRP00000004197|ENSOPRG00000004459|ENSOPRT00000004560|protein_coding|UBR5|ubiquitin	MA	0.0116112	0.0149113	0.778686	0.406738	6213	543.942	5669.06		73	8.00825	64.9918			0.0119001	0.808569:1.04776:0.73004:1.17199:0.308675:1	0.583394(0.480406:0.394231:0.875544)	-7282.47			
6	ENSMLUP00000004650|ENSMLUG00000005083|ENSMLUT00000005098|protein_coding|ANKRD17|ankyrin-ENSOPRP00000012988|ENSOPRG00000014184|ENSOPRT00000014229|protein_coding|ANKRD17|ankyrin	MA	0.012318299999999999	0.017146500000000002	0.718414	0.317215	5955	555.341	5399.66		76	9.51755	66.4825			0.0127685	1.10358:1.34524:0.763362:1.33319:0.218434:1	0.630583(0.532454:0.443886:0.91541)	-6905.53			
7	ENSMLUP00000005957|ENSMLUG00000006509|ENSMLUT00000006524|protein_coding|ACACB|acetyl-CoA-ENSOPRP00000005979|ENSOPRG00000006496|ENSOPRT00000006529|protein_coding|ACACB|acetyl-CoA	MA	0.0745069	0.0897862	0.8298260000000001	0.17171199999999998	7104	647.721	6456.28		503	54.2526	448.74699999999996			0.0759	0.766705:1.17024:0.475481:1.20884:0.443379:1	0.639414(0.545399:0.386401:0.986442)	-10045.0			
8	ENSMLUP00000008941|ENSMLUG00000009791|ENSMLUT00000009807|protein_coding|EPG5|ectopic-ENSOPRP00000004411|ENSOPRG00000004763|ENSOPRT00000004791|protein_coding|EPG5|ectopic	MA	0.0804324	0.140221	0.573612	1.2461200000000001e-06	7083	716.128	6366.87		563	92.29799999999999	470.702			0.08647730000000001	1.318:1.95645:0.438368:1.57417:0.450394:1	0.625279(0.559322:0.351399:0.965116)	-10216.1			
9	ENSMLUP00000002778|ENSMLUG00000003023|ENSMLUT00000003057|protein_coding|NOTCH2|notch-ENSOPRP00000006589|ENSOPRG00000007177|ENSOPRT00000007196|protein_coding|NOTCH2|notch	MA	0.0399741	0.213468	0.18725999999999998	4.29602e-27	5892	351.556	5540.44		270	68.334	201.666			0.0503259	0.920913:1.5416:0.48923:0.896113:0.172322:1	0.616284(0.491386:0.454881:0.902584)	-7799.42			
10	ENSMLUP00000011327|ENSMLUG00000012423|ENSMLUT00000012438|protein_coding|SUPT6H|SPT6-ENSOPRP00000011488|ENSOPRG00000012549|ENSOPRT00000012580|protein_coding|SUPT6H|SPT6	MA	0.00484674	0.022680099999999998	0.2137	0.000468227	5172	334.543	4837.46		30	7.33482	22.6652			0.00600026	2.10762:2.41024:2.35858:2.64116:1.01753:1	0.639614(0.562899:0.356522:0.99942)	-5851.56			
11	ENSMLUP00000001258|ENSMLUG00000001342|ENSMLUT00000001368|protein_coding|TRIP12|thyroid-ENSOPRP00000012866|ENSOPRG00000014057|ENSOPRT00000014098|protein_coding|TRIP12|thyroid	MA	0.0214421	0.030370599999999998	0.706015	0.24285199999999998	5424	468.86300000000006	4955.14		118	13.9456	104.054			0.0222139	0.538331:1.00437:0.439791:1.07962:0.4003:1	0.62962(0.512293:0.423231:0.953337)	-6622.19			
12	ENSMLUP00000008555|ENSMLUG00000009336|ENSMLUT00000009387|protein_coding|LRRK2|leucine-ENSOPRP00000011783|ENSOPRG00000012847|ENSOPRT00000012904|protein_coding|LRRK2|leucine	MA	0.091284	0.142576	0.6402479999999999	0.000396861	6576	558.126	6017.87		576	72.8807	503.119			0.09563730000000001	1.11801:1.44495:0.555652:1.27413:0.439124:1	0.587921(0.50396:0.325941:0.933861)	-9577.43			
13	ENSMLUP00000001849|ENSMLUG00000002022|ENSMLUT00000002031|protein_coding|NCOR1|nuclear-ENSOPRP00000006423|ENSOPRG00000006972|ENSOPRT00000007014|protein_coding|NCOR1|nuclear	MA	0.0426474	0.0838097	0.5088600000000001	0.000762674	5160	401.85699999999997	4758.14		224	31.8857	192.114			0.0458531	1.32575:1.28293:1.00545:1.33792:0.255249:1	0.576492(0.470238:0.406404:0.852833)	-6664.12			
14	ENSMLUP00000006061|ENSMLUG00000006633|ENSMLUT00000006638|protein_coding|MED1|mediator-ENSOPRP00000010378|ENSOPRG00000011353|ENSOPRT00000011370|protein_coding|MED1|mediator	MA	0.0164256	0.0473577	0.346841	0.0009778010000000001	4455	276.132	4178.87		79	12.6421	66.3579			0.0183428	2.15836:2.12904:1.76943:2.22511:0.538243:1	0.63974(0.472222:0.47318:0.973819)	-5184.67			
15	ENSMLUP00000009203|ENSMLUG00000010072|ENSMLUT00000010094|protein_coding|SETD2|SET-ENSOPRP00000004800|ENSOPRG00000005216|ENSOPRT00000005224|protein_coding|SETD2|SET	MA	0.0806684	0.307612	0.26224000000000003	3.992299999999999e-27	5526	332.585	5193.42		465	91.2666	373.733			0.09432710000000001	2.16861:1.61031:0.851807:1.42801:0.829665:1	0.636737(0.515649:0.422011:0.97255)	-7976.11			
16	ENSMLUP00000015812|ENSMLUG00000017340|ENSMLUT00000017346|protein_coding|GOLGA4|golgin-ENSOPRP00000002114|ENSOPRG00000002263|ENSOPRT00000002286|protein_coding|GOLGA4|golgin	MA	0.10843699999999999	0.608171	0.178299	5.420239999999999e-60	6195	239.044	5955.96		675	124.025	550.975			0.12772	3.21713:2.18984:0.50298:1.48997:1.62762:1	0.602847(0.567723:0.266988:0.973829)	-9019.31			
17	ENSMLUP00000010918|ENSMLUG00000011967|ENSMLUT00000011986|protein_coding|MYLK|myosin-ENSOPRP00000012872|ENSOPRG00000014067|ENSOPRT00000014104|protein_coding|MYLK|myosin	MA	0.06879400000000001	0.180981	0.380117	1.20521e-12	5214	429.10400000000004	4784.9		373	71.2016	301.798			0.07802680000000001	1.30983:1.249:0.908818:1.19795:0.166144:1	0.650651(0.549131:0.431325:0.971498)	-7334.33			
18	ENSMLUP00000002296|ENSMLUG00000002494|ENSMLUT00000002526|protein_coding|ITSN2|intersectin-ENSOPRP00000012952|ENSOPRG00000014142|ENSOPRT00000014191|protein_coding|ITSN2|intersectin	MA	0.0345892	0.0655274	0.527859	0.00906516	4428	306.203	4121.8		156	19.2461	136.754			0.036728699999999996	1.71286:1.70339:1.29083:1.63501:0.206018:1	0.597355(0.50179:0.350239:0.940036)	-5651.31			
19	ENSMLUP00000002143|ENSMLUG00000002342|ENSMLUT00000002359|protein_coding|SMARCA2|SWI/SNF-ENSOPRP00000012321|ENSOPRG00000013474|ENSOPRT00000013502|protein_coding|SMARCA2|SWI/SNF	MA	0.0487274	0.058374800000000004	0.834734	0.42245900000000003	4497	338.624	4158.38		212	18.8432	193.157			0.0494539	0.650752:0.913292:0.680238:1.08846:0.418621:1	0.640862(0.56238:0.380678:0.979527)	-5928.41			
