	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
0	ENSHGLP00100005494|ENSHGLG00100004169|ENSHGLT00100005576|protein_coding|HERC2|E3-ENSMODP00000037638|ENSMODG00000000682|ENSMODT00000039239|protein_coding|HERC2|HECT	MA	0.055168600000000005	0.0944913	0.5838479999999999	1.38661e-07	14385	1317.26	13067.7		801	117.93299999999999	683.067			0.0587694	1.72357:2.23395:0.975243:1.7912:0.624656:1	0.671914(0.579337:0.436614:0.999791)	-19557.5			
1	ENSHGLP00100003046|ENSHGLG00100002338|ENSHGLT00100003102|protein_coding|HUWE1|HECT,-ENSMODP00000026121|ENSMODG00000020890|ENSMODT00000026586|protein_coding|HUWE1|HECT,	MA	0.041779500000000004	0.0353575	1.18163	0.275966	13020	1385.94	11634.1		520	47.6235	472.37699999999995			0.0410959	1.02005:1.94619:0.180057:2.09746:0.512346:1	0.66659(0.570375:0.429625:0.99977)	-16826.2			
2	ENSHGLP00100019671|ENSHGLG00100014503|ENSHGLT00100019878|protein_coding|SMG1|SMG1-ENSMODP00000007563|ENSMODG00000006102|ENSMODT00000007716|protein_coding|SMG1|SMG1	MA	0.019237900000000002	0.020501	0.9383889999999999	0.72202	10893	1061.51	9831.49		206	21.2565	184.743			0.019361	1.05265:3.09852:0.292738:2.5379:0.154165:1	0.644916(0.549972:0.38505:0.999725)	-13181.0			
3	ENSHGLP00100005492|ENSHGLG00100004167|ENSHGLT00100005574|protein_coding|UBR5|ubiquitin-ENSMODP00000007389|ENSMODG00000005976|ENSMODT00000007538|protein_coding|UBR5|ubiquitin	MA	0.012685	0.0180535	0.702634	0.25083099999999997	8220	588.508	7631.49		106	10.4832	95.5168			0.013069399999999998	1.0874:2.10868:0.684848:1.2629:0.316665:1	0.664053(0.548687:0.443837:0.999635)	-9689.51			
4	ENSHGLP00100015925|ENSHGLG00100011756|ENSHGLT00100016101|protein_coding|ITPR1|inositol-ENSMODP00000005545|ENSMODG00000004495|ENSMODT00000005663|protein_coding|ITPR1|inositol	MA	0.0183812	0.025401499999999997	0.72363	0.195253	8100	573.813	7526.19		150	14.2977	135.702			0.0188786	1.26473:1.37931:1.12873:1.39832:0.602314:1	0.622362(0.529248:0.338208:0.99963)	-9757.3			
5	ENSHGLP00100003631|ENSHGLG00100002768|ENSHGLT00100003691|protein_coding|NIPBL|NIPBL-ENSMODP00000025453|ENSMODG00000020351|ENSMODT00000025904|protein_coding|NIPBL|NIPBL	MA	0.0316078	0.0515409	0.6132569999999999	0.0159569	8397	547.224	7849.78		268	27.3553	240.645			0.03290680000000001	1.15999:1.38177:0.778452:1.52004:0.348081:1	0.629821(0.51:0.379821:0.999643)	-10431.8			
6	ENSHGLP00100020024|ENSHGLG00100014761|ENSHGLT00100020236|protein_coding|MTOR|mechanistic-ENSMODP00000013940|ENSMODG00000011138|ENSMODT00000014195|protein_coding|MTOR|mechanistic	MA	0.0163895	0.0118717	1.38056	0.349765	7599	748.7410000000001	6850.26		119	8.73025	110.27			0.015944399999999997	0.641934:1.44135:0.50487:1.40368:0.328247:1	0.646935(0.563536:0.377664:0.999605)	-9115.01			
7	ENSHGLP00100021296|ENSHGLG00100015682|ENSHGLT00100021521|protein_coding||APC-ENSMODP00000016609|ENSMODG00000013281|ENSMODT00000016914|protein_coding	MA	0.0626841	0.237467	0.263969	1.0626699999999999e-31	8499	529.879	7969.12		564	113.48200000000001	450.51800000000003			0.07358110000000001	1.5511:1.46811:1.0757:1.42171:0.392451:1	0.653434(0.491884:0.468772:0.999647)	-11571.1			
8	ENSHGLP00100002614|ENSHGLG00100002045|ENSHGLT00100002669|protein_coding|REV3L|REV3-ENSMODP00000022331|ENSMODG00000017910|ENSMODT00000022721|protein_coding|REV3L|REV3	MA	0.09077719999999999	0.264297	0.343466	3.30108e-27	9342	553.778	8788.22		853	132.234	720.7660000000001			0.101063	1.55953:1.54462:1.26601:1.49072:0.487834:1	0.628304(0.49053:0.394703:0.999679)	-13647.5			
9	ENSHGLP00100020038|ENSHGLG00100014771|ENSHGLT00100020250|protein_coding|GCN1|GCN1-ENSMODP00000019016|ENSMODG00000015221|ENSMODT00000019359|protein_coding|GCN1|GCN1	MA	0.0578891	0.055337300000000006	1.04611	0.815433	8007	901.1610000000001	7105.84		438	47.3574	390.64300000000003			0.0576019	1.59707:2.05974:0.696563:1.91573:0.375134:1	0.663107(0.596853:0.392469:1)	-10777.6			
10	ENSHGLP00100003120|ENSHGLG00100002386|ENSHGLT00100003177|protein_coding|ATM|ATM-ENSMODP00000018290|ENSMODG00000014639|ENSMODT00000018623|protein_coding|ATM|ATM	MA	0.117675	0.170645	0.689591	0.00035355099999999996	9147	637.988	8509.01		996	97.6733	898.327			0.12137	2.02726:2.21928:1.34819:1.95567:0.675962:1	0.616049(0.508199:0.339948:1)	-13900.2			
11	ENSHGLP00100013945|ENSHGLG00100010317|ENSHGLT00100014100|protein_coding|ATR|ATR-ENSMODP00000026543|ENSMODG00000021237|ENSMODT00000027018|protein_coding|ATR|ATR	MA	0.0803191	0.11491400000000002	0.698947	0.00501396	7929	634.6080000000001	7294.39		610	67.5233	542.477			0.08308789999999999	0.858922:1.44552:0.462309:1.205:0.398921:1	0.624117(0.523828:0.348903:0.999622)	-11317.0			
12	ENSHGLP00100002673|ENSHGLG00100002085|ENSHGLT00100002728|protein_coding|TPR|translocated-ENSMODP00000014586|ENSMODG00000011641|ENSMODT00000014854|protein_coding|TPR|translocated	MA	0.0506465	0.132793	0.381393	4.2173300000000003e-10	7077	432.58	6644.42		372	54.2417	317.758			0.0556677	2.08309:1.66102:0.900533:1.61159:0.545705:1	0.648446(0.592373:0.35339:0.999576)	-9212.41			
