	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
0	ENSHGLP00100019671|ENSHGLG00100014503|ENSHGLT00100019878|protein_coding|SMG1|SMG1-ENSMODP00000007563|ENSMODG00000006102|ENSMODT00000007716|protein_coding|SMG1|SMG1	MA	0.019237900000000002	0.020501	0.9383889999999999	0.72202	10893	1061.51	9831.49		206	21.2565	184.743			0.019361	1.05265:3.09852:0.292738:2.5379:0.154165:1	0.644916(0.549972:0.38505:0.999725)	-13181.0			
1	ENSHGLP00100021249|ENSHGLG00100015649|ENSHGLT00100021474|protein_coding|CHD7|chromodomain-ENSMODP00000010556|ENSMODG00000008488|ENSMODT00000010762|protein_coding|CHD7|chromodomain	MA	0.0270491	0.040050699999999995	0.675371	0.0594618	8934	653.229	8280.77		243	25.4145	217.585			0.027999700000000002	0.630809:1.39969:0.169111:1.08662:0.130221:1	0.656876(0.559248:0.411715:0.999664)	-11063.6			
2	ENSHGLP00100005492|ENSHGLG00100004167|ENSHGLT00100005574|protein_coding|UBR5|ubiquitin-ENSMODP00000007389|ENSMODG00000005976|ENSMODT00000007538|protein_coding|UBR5|ubiquitin	MA	0.012685	0.0180535	0.702634	0.25083099999999997	8220	588.508	7631.49		106	10.4832	95.5168			0.013069399999999998	1.0874:2.10868:0.684848:1.2629:0.316665:1	0.664053(0.548687:0.443837:0.999635)	-9689.51			
3	ENSHGLP00100003631|ENSHGLG00100002768|ENSHGLT00100003691|protein_coding|NIPBL|NIPBL-ENSMODP00000025453|ENSMODG00000020351|ENSMODT00000025904|protein_coding|NIPBL|NIPBL	MA	0.0316078	0.0515409	0.6132569999999999	0.0159569	8397	547.224	7849.78		268	27.3553	240.645			0.03290680000000001	1.15999:1.38177:0.778452:1.52004:0.348081:1	0.629821(0.51:0.379821:0.999643)	-10431.8			
4	ENSHGLP00100020024|ENSHGLG00100014761|ENSHGLT00100020236|protein_coding|MTOR|mechanistic-ENSMODP00000013940|ENSMODG00000011138|ENSMODT00000014195|protein_coding|MTOR|mechanistic	MA	0.0163895	0.0118717	1.38056	0.349765	7599	748.7410000000001	6850.26		119	8.73025	110.27			0.015944399999999997	0.641934:1.44135:0.50487:1.40368:0.328247:1	0.646935(0.563536:0.377664:0.999605)	-9115.01			
5	ENSHGLP00100017903|ENSHGLG00100013197|ENSHGLT00100018092|protein_coding|ASH1L|ASH1-ENSMODP00000021257|ENSMODG00000017033|ENSMODT00000021631|protein_coding|ASH1L|ASH1	MA	0.0495174	0.10491700000000001	0.471967	2.42788e-07	8871	589.276	8281.72		446	58.4301	387.57			0.053197400000000006	1.391:1.72567:0.725401:1.5234:0.333168:1	0.641481(0.494084:0.430696:0.999662)	-11744.8			
6	ENSHGLP00100017074|ENSHGLG00100012589|ENSHGLT00100017257|protein_coding-ENSMODP00000003246|ENSMODG00000002675|ENSMODT00000003314|protein_coding||fibrillin	MA	0.05839249999999999	0.264884	0.22044499999999997	3.9324299999999994e-35	8337	440.51599999999996	7896.48		509	102.795	406.205			0.0693032	1.07631:1.05122:0.906481:1.09815:0.493386:1	0.654197(0.469245:0.493705:0.99964)	-11419.4			
7	ENSHGLP00100017702|ENSHGLG00100013060|ENSHGLT00100017890|protein_coding|ANKRD17|ankyrin-ENSMODP00000023906|ENSMODG00000019154|ENSMODT00000024330|protein_coding|ANKRD17|ankyrin	MA	0.045275699999999995	0.0863716	0.524196	1.45284e-05	7464	680.197	6783.8		350	56.1981	293.802			0.0490208	1.51599:1.60115:1.22239:1.58365:0.529742:1	0.689902(0.583568:0.486541:0.999598)	-9738.28			
8	ENSHGLP00100003120|ENSHGLG00100002386|ENSHGLT00100003177|protein_coding|ATM|ATM-ENSMODP00000018290|ENSMODG00000014639|ENSMODT00000018623|protein_coding|ATM|ATM	MA	0.117675	0.170645	0.689591	0.00035355099999999996	9147	637.988	8509.01		996	97.6733	898.327			0.12137	2.02726:2.21928:1.34819:1.95567:0.675962:1	0.616049(0.508199:0.339948:1)	-13900.2			
9	ENSHGLP00100013945|ENSHGLG00100010317|ENSHGLT00100014100|protein_coding|ATR|ATR-ENSMODP00000026543|ENSMODG00000021237|ENSMODT00000027018|protein_coding|ATR|ATR	MA	0.0803191	0.11491400000000002	0.698947	0.00501396	7929	634.6080000000001	7294.39		610	67.5233	542.477			0.08308789999999999	0.858922:1.44552:0.462309:1.205:0.398921:1	0.624117(0.523828:0.348903:0.999622)	-11317.0			
