Pair Number	Protein	Symbol	Microbat Protein	Prairie Vole Protein	Ka/Ks	P-Value
7	chromodomain helicase DNA binding protein 7	CHD7	ENSMLUP00000013918	ENSMOCP00000011174	3.1177200000000003	0.0638763
203	BRCA1 associated protein 1	BAP1	ENSMLUP00000013958	ENSMOCP00000014426	2.06548	0.024231799999999998
224	caprin family member 2	CAPRIN2	ENSMLUP00000007980	ENSMOCP00000002354	50.0	0.0178465
271	TBC1 domain family member 23	TBC1D23	ENSMLUP00000001716	ENSMOCP00000018280	1.9009099999999999	1.6841199999999997e-05
295	TBC1 domain family member 24		ENSMLUP00000014673	ENSMOCP00000015481	50.0	0.05448769999999999
395	ER degradation enhancing alpha-mannosidase like protein 1	EDEM1	ENSMLUP00000011956	ENSMOCP00000023404	3.2046799999999998	0.061323300000000004
425	dishevelled binding antagonist of beta catenin 1	DACT1	ENSMLUP00000007164	ENSMOCP00000017758	49.8949	0.07443519999999999
518	shieldin complex subunit 2	SHLD2	ENSMLUP00000018035	ENSMOCP00000017012	5.98477	0.069856
530	complement C2		ENSMLUP00000000545	ENSMOCP00000001703	2.0510900000000003	0.057486199999999994
623	SIX homeobox 1	SIX1	ENSMLUP00000002119	ENSMOCP00000001115	3.15968	0.0789729
652	thymocyte expressed, positive selection associated 1	TESPA1	ENSMLUP00000004938	ENSMOCP00000011728	48.4754	0.0498876
742	sirtuin 6		ENSMLUP00000007946	ENSMOCP00000023247	5.142580000000001	0.0625921
776	dual specificity phosphatase 1	DUSP1	ENSMLUP00000008904	ENSMOCP00000026246	1.46305	0.08981139999999999
793	peptidylprolyl isomerase B	PPIB	ENSMLUP00000014552	ENSMOCP00000010127	4.25587	0.00328617
796	replication protein A2	RPA2	ENSMLUP00000000138	ENSMOCP00000007308	50.0	0.0930062
801	solute carrier family 30 member 10	SLC30A10	ENSMLUP00000006590	ENSMOCP00000020971	2.82215	0.025672300000000002
810	ectodysplasin A2 receptor	EDA2R	ENSMLUP00000014417	ENSMOCP00000024344	2.18871	0.000102669
984	hematopoietic cell signal transducer	HCST	ENSMLUP00000014581	ENSMOCP00000023761	2.13362	0.063377
