	Sequence	Method	Ka	Ks	Ka/Ks	P-Value(Fisher)	Length	S-Sites	N-Sites	Fold-Sites(0:2:4)	Substitutions	S-Substitutions	N-Substitutions	Fold-S-Substitutions(0:2:4)	Fold-N-Substitutions(0:2:4)	Divergence-Time	Substitution-Rate-Ratio(rTC:rAG:rTA:rCG:rTG:rCA/rCA)	GC(1:2:3)	ML-Score	AICc	Akaike-Weight	Model
0	ENSMLUP00000005229|ENSMLUG00000005675|ENSMLUT00000005722|protein_coding|SMG1|SMG1-ENSMOCP00000003203|ENSMOCG00000002552|ENSMOCT00000003425|protein_coding|Smg1|SMG1	MA	0.015215000000000001	0.028902499999999998	0.5264260000000001	0.00560017	10887	840.025	10047.0		173	23.7109	149.289			0.0162711	1.41738:3.68582:0.803922:2.20465:1.01029:1	0.64596(0.550413:0.387741:0.999725)	-13058.7			
1	ENSMLUP00000015932|ENSMLUG00000017467|ENSMLUT00000017479|protein_coding|VPS13C|vacuolar-ENSMOCP00000001119|ENSMOCG00000000853|ENSMOCT00000001155|protein_coding|Vps13c|vacuolar	MA	0.07486380000000001	0.17413	0.42993100000000006	8.23179e-18	11217	812.7	10404.3		853	131.149	721.8510000000001			0.0820558	1.6898:2.18508:0.532111:1.64773:0.557603:1	0.624955(0.526604:0.348396:0.999866)	-15803.3			
2	ENSMLUP00000007430|ENSMLUG00000008052|ENSMLUT00000008139|protein_coding|UBR5|ubiquitin-ENSMOCP00000022963|ENSMOCG00000019809|ENSMOCT00000026813|protein_coding|Ubr5|ubiquitin	MA	0.00907191	0.00701246	1.29368	0.672564	8316	697.659	7618.34		74	4.89196	69.108			0.00889914	1.20673:1.53702:0.843989:1.36229:0.0655711:1	0.665465(0.549044:0.44771:0.999639)	-9626.97			
3	ENSMLUP00000015240|ENSMLUG00000016706|ENSMLUT00000016723|protein_coding|MEGF8|multiple-ENSMOCP00000009800|ENSMOCG00000009971|ENSMOCT00000012826|protein_coding|Megf8|multiple	MA	0.021975	0.07887100000000001	0.27862	2.6104000000000003e-14	8367	750.518	7616.48		216	56.4335	159.567			0.0270786	0.963078:1.25009:0.577935:0.824613:0.284515:1	0.721983(0.598925:0.567384:0.999642)	-10457.7			
4	ENSMLUP00000001592|ENSMLUG00000001724|ENSMLUT00000001738|protein_coding|NIPBL|NIPBL-ENSMOCP00000000607|ENSMOCG00000000456|ENSMOCT00000000637|protein_coding|Nipbl|NIPBL	MA	0.014362999999999999	0.013903799999999997	1.03303	0.8455450000000001	8214	507.675	7706.33		117	7.01398	109.986			0.014334600000000001	1.76215:1.87576:1.31964:1.86888:0.173272:1	0.629062(0.509127:0.378423:0.999635)	-9573.86			
5	ENSMLUP00000000688|ENSMLUG00000000718|ENSMLUT00000000755|protein_coding|PRKDC|protein-ENSMOCP00000015832|ENSMOCG00000014871|ENSMOCT00000019604|protein_coding|Prkdc|protein	MA	0.128931	0.278021	0.46374799999999994	1.1775699999999998e-26	12162	932.434	11229.6		1504	228.396	1275.6			0.140362	0.905516:1.54775:0.369015:1.20085:0.50185:1	0.624866(0.522318:0.352528:0.999753)	-18989.9			
6	ENSMLUP00000013918|ENSMLUG00000015266|ENSMLUT00000015278|protein_coding|CHD7|chromodomain-ENSMOCP00000011174|ENSMOCG00000011408|ENSMOCT00000014664|protein_coding|Chd7|chromodomain	MA	0.0413235	0.06765700000000001	0.61078	0.00202182	8937	696.549	8240.45		371	45.1021	325.89799999999997			0.043376	0.938071:1.04054:0.661262:1.12605:0.258597:1	0.662975(0.568289:0.420973:0.999664)	-11634.8			
7	ENSMLUP00000003943|ENSMLUG00000004295|ENSMLUT00000004332|protein_coding|MTOR|mechanistic-ENSMOCP00000009086|ENSMOCG00000009089|ENSMOCT00000011816|protein_coding|Mtor|mechanistic	MA	0.0108443	0.00347829	3.1177200000000003	0.0638763	7578	674.117	6903.88		76	2.3079400000000003	73.6921			0.010189100000000001	0.629413:2.48482:0.785515:1.75877:0.486337:1	0.647144(0.562525:0.379304:0.999604)	-8881.35			
8	ENSMLUP00000012265|ENSMLUG00000013461|ENSMLUT00000013480|protein_coding|ASH1L|ASH1-ENSMOCP00000000313|ENSMOCG00000000265|ENSMOCT00000000340|protein_coding|Ash1l|ASH1	MA	0.0441375	0.113429	0.389119	1.9339500000000003e-10	8865	562.5880000000001	8302.41		407	60.3639	346.63599999999997			0.0485349	1.64847:1.71703:1.29385:1.67619:0.459447:1	0.639152(0.494756:0.423038:0.999662)	-11619.3			
9	ENSMLUP00000004650|ENSMLUG00000005083|ENSMLUT00000005098|protein_coding|ANKRD17|ankyrin-ENSMOCP00000026171|ENSMOCG00000022048|ENSMOCT00000030046|protein_coding|Ankrd17|ankyrin	MA	0.00946105	0.0194896	0.48544	0.0191584	7395	632.328	6762.67		75	12.1129	62.8871			0.0103186	1.19951:1.47218:1.06591:1.30768:0.419089:1	0.687956(0.582725:0.481549:0.999594)	-8497.82			
